group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Employment status,Full-Time,demos,148,148,7.222972972972973,7.8175675675675675,3.25,4.5608108108108105,0.3918918918918919,0.3108108108108108
Employment status,Full-Time,employment,148,148,7.945945945945946,8.04054054054054,3.891891891891892,4.45945945945946,0.2972972972972973,0.32432432432432434
Employment status,Full-Time,full,148,148,7.27027027027027,8.202702702702704,3.4864864864864864,5.054054054054054,0.4594594594594595,0.2905405405405405
Employment status,Full-Time,geo,148,148,8.236486486486486,8.844594594594595,4.628378378378378,4.777027027027027,0.38513513513513514,0.2905405405405405
Employment status,Full-Time,transit,148,148,8.385135135135135,8.08108108108108,4.668918918918919,5.054054054054054,0.3310810810810811,0.3310810810810811
Employment status,Other,demos,62,62,8.0,6.629032258064516,1.6774193548387097,3.0161290322580645,0.4032258064516129,0.45161290322580644
Employment status,Other,employment,62,62,7.806451612903226,8.419354838709678,1.064516129032258,1.2903225806451613,0.3709677419354839,0.3709677419354839
Employment status,Other,full,62,62,8.774193548387096,8.17741935483871,1.064516129032258,1.6612903225806452,0.3387096774193548,0.2903225806451613
Employment status,Other,geo,62,62,7.564516129032258,8.14516129032258,0.1774193548387097,2.370967741935484,0.2903225806451613,0.3225806451612903
Employment status,Other,transit,62,62,7.725806451612903,7.403225806451613,1.7580645161290323,1.532258064516129,0.3709677419354839,0.3064516129032258
Employment status,Part-Time,demos,31,31,9.387096774193548,8.225806451612904,1.5806451612903225,0.5483870967741935,0.1935483870967742,0.3225806451612903
Employment status,Part-Time,employment,31,31,8.96774193548387,9.161290322580646,1.3548387096774193,1.4193548387096775,0.25806451612903225,0.22580645161290322
Employment status,Part-Time,full,31,31,7.548387096774194,7.064516129032258,-0.6451612903225806,1.903225806451613,0.3870967741935484,0.3225806451612903
Employment status,Part-Time,geo,31,31,8.387096774193548,8.935483870967742,1.4838709677419355,1.903225806451613,0.3225806451612903,0.22580645161290322
Employment status,Part-Time,transit,31,31,9.806451612903226,7.419354838709677,1.7419354838709677,2.3225806451612905,0.25806451612903225,0.25806451612903225
