participant_id,tier,provider,model,latency_seconds,raw_response,error,pred_group_ca,pred_interpersonal_ca,pred_group_band,pred_interpersonal_band,Age,Sex,Country of residence,Student status,Employment status,LocationLatitude,LocationLongitude,Q26,Q27,Q28,Q29,gt_group_ca,gt_interpersonal_ca,gt_group_band,gt_interpersonal_band,error_group,abs_error_group,score_distance_group,norm_score_distance_group,exact_match_group,pred_group_band_reported,pred_group_band_resolved,band_match_group,band_distance_group,norm_band_distance_group,error_interpersonal,abs_error_interpersonal,score_distance_interpersonal,norm_score_distance_interpersonal,exact_match_interpersonal,pred_interpersonal_band_reported,pred_interpersonal_band_resolved,band_match_interpersonal,band_distance_interpersonal,norm_band_distance_interpersonal
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,demos,mock,mock-persona,0.0,"{""self_reported_group_ca"": 15, ""self_reported_interpersonal_ca"": 21, ""self_reported_band_group"": ""moderate"", ""self_reported_band_interpersonal"": ""high""}",,15,21,moderate,high,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,1,1,1,0.041666666666666664,False,moderate,moderate,True,0,0.0,5,5,5,0.20833333333333334,False,high,high,False,1,0.5
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,employment,mock,mock-persona,0.0,"{""self_reported_group_ca"": 29, ""self_reported_interpersonal_ca"": 11, ""self_reported_band_group"": ""high"", ""self_reported_band_interpersonal"": ""low""}",,29,11,high,low,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,15,15,15,0.625,False,high,high,False,1,0.5,-5,5,5,0.20833333333333334,False,low,low,False,1,0.5
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,geo,mock,mock-persona,0.0,"{""self_reported_group_ca"": 16, ""self_reported_interpersonal_ca"": 27, ""self_reported_band_group"": ""moderate"", ""self_reported_band_interpersonal"": ""high""}",,16,27,moderate,high,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0,11,11,11,0.4583333333333333,False,high,high,False,1,0.5
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,transit,mock,mock-persona,0.0,"{""self_reported_group_ca"": 12, ""self_reported_interpersonal_ca"": 19, ""self_reported_band_group"": ""low"", ""self_reported_band_interpersonal"": ""moderate""}",,12,19,low,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,-2,2,2,0.08333333333333333,False,low,low,False,1,0.5,3,3,3,0.125,False,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,full,mock,mock-persona,0.0,"{""self_reported_group_ca"": 12, ""self_reported_interpersonal_ca"": 19, ""self_reported_band_group"": ""low"", ""self_reported_band_interpersonal"": ""moderate""}",,12,19,low,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,-2,2,2,0.08333333333333333,False,low,low,False,1,0.5,3,3,3,0.125,False,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,v3_rideshare,mock,mock-persona,0.0,"{""self_reported_group_ca"": 25, ""self_reported_interpersonal_ca"": 22, ""self_reported_band_group"": ""high"", ""self_reported_band_interpersonal"": ""high""}",,25,22,high,high,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,11,11,11,0.4583333333333333,False,high,high,False,1,0.5,6,6,6,0.25,False,high,high,False,1,0.5
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,v3_public_transit,mock,mock-persona,0.0,"{""self_reported_group_ca"": 9, ""self_reported_interpersonal_ca"": 18, ""self_reported_band_group"": ""low"", ""self_reported_band_interpersonal"": ""moderate""}",,9,18,low,moderate,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,-5,5,5,0.20833333333333334,False,low,low,False,1,0.5,2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0
ebab12e9878344fdc93a8c1cad27ff2f709e12b90f0496de3332f508f3b2b9c9,v3_voice,mock,mock-persona,0.0,"{""self_reported_group_ca"": 16, ""self_reported_interpersonal_ca"": 27, ""self_reported_band_group"": ""moderate"", ""self_reported_band_interpersonal"": ""high""}",,16,27,moderate,high,36.0,Male,United States,Yes,Part-Time,33.415800000000004,-119.0493,2-4 days a month,3-4 rides in a typical day,0-1 days a month,3-4 rides in a typical day,14,16,moderate,moderate,2,2,2,0.08333333333333333,False,moderate,moderate,True,0,0.0,11,11,11,0.4583333333333333,False,high,high,False,1,0.5
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,demos,mock,mock-persona,0.0,"{""self_reported_group_ca"": 10, ""self_reported_interpersonal_ca"": 26, ""self_reported_band_group"": ""low"", ""self_reported_band_interpersonal"": ""high""}",,10,26,low,high,41.0,Male,United States,No,Other,34.7196,-81.5487,Never,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,17,17,moderate,moderate,-7,7,7,0.2916666666666667,False,low,low,False,1,0.5,9,9,9,0.375,False,high,high,False,1,0.5
b6954799ca47bc836ac02ab86e4710c3b0e096d7ace449b81aaa1d5845431821,employment,mock,mock-persona,0.0,"{""self_reported_group_ca"": 16, ""self_reported_interpersonal_ca"": 21, ""self_reported_band_group"": ""moderate"", ""self_reported_band_interpersonal"": ""high""}",,16,21,moderate,high,41.0,Male,United States,No,Other,34.7196,-81.5487,Never,1-2 rides in a typical day,0-1 days a month,1-2 rides in a typical day,17,17,moderate,moderate,-1,1,1,0.041666666666666664,False,moderate,moderate,True,0,0.0,4,4,4,0.16666666666666666,False,high,high,False,1,0.5
