scope,group_key,n,mean_group_ca,mean_interpersonal_ca,std_group_ca,std_interpersonal_ca,min_group_ca,max_group_ca,min_interpersonal_ca,max_interpersonal_ca,group_band_low_n,group_band_low_pct,group_band_moderate_n,group_band_moderate_pct,group_band_high_n,group_band_high_pct,interpersonal_band_low_n,interpersonal_band_low_pct,interpersonal_band_moderate_n,interpersonal_band_moderate_pct,interpersonal_band_high_n,interpersonal_band_high_pct
overall,all,241,14.622406639004149,14.311203319502075,6.020242135488774,5.805870455585701,6.0,30.0,6.0,30.0,130,0.5394190871369294,61,0.25311203319502074,50,0.2074688796680498,128,0.5311203319502075,69,0.2863070539419087,44,0.1825726141078838
sex,Female,120,14.875,14.75,5.761311337997048,5.586068981552829,6.0,30.0,6.0,30.0,61,0.5083333333333333,33,0.275,26,0.21666666666666667,64,0.5333333333333333,34,0.2833333333333333,22,0.18333333333333332
sex,Male,121,14.37190082644628,13.87603305785124,6.256411232553832,5.9842358307678705,6.0,30.0,6.0,30.0,69,0.5702479338842975,28,0.23140495867768596,24,0.19834710743801653,64,0.5289256198347108,35,0.2892561983471074,22,0.18181818181818182
student_status,No,190,14.257894736842106,13.773684210526316,5.9887452151579765,5.575920231369239,6.0,30.0,6.0,30.0,108,0.5684210526315789,43,0.22631578947368422,39,0.20526315789473684,106,0.5578947368421052,56,0.29473684210526313,28,0.14736842105263157
student_status,Yes,34,16.352941176470587,17.029411764705884,6.111139072320779,5.982746241915639,6.0,30.0,6.0,29.0,12,0.35294117647058826,15,0.4411764705882353,7,0.20588235294117646,13,0.38235294117647056,8,0.23529411764705882,13,0.38235294117647056
student_status,nan,17,15.235294117647058,14.882352941176471,5.514999992157281,6.360561878076833,8.0,27.0,6.0,30.0,10,0.5882352941176471,3,0.17647058823529413,4,0.23529411764705882,9,0.5294117647058824,5,0.29411764705882354,3,0.17647058823529413
employment,Full-Time,148,13.324324324324325,12.993243243243244,5.137588318720328,4.656434985981289,6.0,27.0,6.0,29.0,95,0.6418918918918919,34,0.22972972972972974,19,0.12837837837837837,92,0.6216216216216216,43,0.2905405405405405,13,0.08783783783783784
employment,Other,62,16.951612903225808,16.56451612903226,6.416780972084404,6.868866102935946,6.0,30.0,6.0,30.0,23,0.3709677419354839,16,0.25806451612903225,23,0.3709677419354839,23,0.3709677419354839,17,0.27419354838709675,22,0.3548387096774194
employment,Part-Time,31,16.161290322580644,16.096774193548388,7.220476144578173,6.522194557987154,6.0,30.0,6.0,30.0,12,0.3870967741935484,11,0.3548387096774194,8,0.25806451612903225,13,0.41935483870967744,9,0.2903225806451613,9,0.2903225806451613
country,Canada,20,14.65,15.15,5.901482864501091,5.841874699101308,6.0,27.0,6.0,25.0,10,0.5,5,0.25,5,0.25,9,0.45,6,0.3,5,0.25
country,France,1,30.0,26.0,0.0,0.0,30.0,30.0,26.0,26.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0
country,Hungary,1,6.0,9.0,0.0,0.0,6.0,6.0,9.0,9.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
country,India,1,8.0,6.0,0.0,0.0,8.0,8.0,6.0,6.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
country,Ireland,2,11.5,8.5,1.5,2.5,10.0,13.0,6.0,11.0,2,1.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0
country,New Zealand,1,15.0,13.0,0.0,0.0,15.0,15.0,13.0,13.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0
country,Spain,1,16.0,9.0,0.0,0.0,16.0,16.0,9.0,9.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0
country,United Kingdom,56,16.339285714285715,15.535714285714286,6.220004552462407,5.876600954251548,6.0,30.0,6.0,29.0,23,0.4107142857142857,17,0.30357142857142855,16,0.2857142857142857,24,0.42857142857142855,20,0.35714285714285715,12,0.21428571428571427
country,United States,158,14.037974683544304,13.89873417721519,5.776300419040257,5.646988525785305,6.0,30.0,6.0,30.0,93,0.5886075949367089,37,0.23417721518987342,28,0.17721518987341772,89,0.5632911392405063,43,0.2721518987341772,26,0.16455696202531644
