agent_family,model,tier,side,n,band_accuracy,f1_macro,f1_low,f1_moderate,f1_high,mean_band_distance,auc_high_vs_low,auc_ordinal_ovo
ml,random_forest,demos,group,241,0.3651452282157676,0.30542370608742286,0.48672566371681414,0.32954545454545453,0.1,0.7800829875518672,0.49238461538461537,0.49264438839848673
ml,random_forest,demos,interpersonal,241,0.36929460580912865,0.323036425757464,0.45454545454545453,0.34554973821989526,0.16901408450704225,0.7427385892116183,0.5696022727272728,0.5449433190601668
ml,random_forest,employment,group,241,0.3651452282157676,0.30182208104663916,0.4892703862660944,0.3050847457627119,0.1111111111111111,0.7593360995850622,0.5229230769230769,0.518343001261034
ml,random_forest,employment,interpersonal,241,0.37344398340248963,0.3220029245031586,0.4830508474576271,0.2983425414364641,0.18461538461538463,0.7261410788381742,0.5828302556818181,0.5509223519158981
ml,random_forest,geo,group,241,0.4190871369294606,0.3557468090328915,0.5089285714285714,0.4020618556701031,0.15625,0.6804979253112033,0.6033846153846154,0.5727549390500211
ml,random_forest,geo,interpersonal,241,0.4854771784232365,0.4152908043304136,0.5714285714285714,0.4639175257731959,0.21052631578947367,0.5975103734439834,0.6640625,0.6163777722880983
ml,random_forest,transit,group,241,0.48132780082987553,0.38554091583748046,0.6371681415929203,0.422680412371134,0.0967741935483871,0.5726141078838174,0.7168461538461538,0.6495498108448928
ml,random_forest,transit,interpersonal,241,0.5311203319502075,0.45769003253475304,0.6434782608695652,0.47959183673469385,0.25,0.5145228215767634,0.7377485795454547,0.6644544974198507
ml,knn,demos,group,241,0.3651452282157676,0.2903246753246754,0.5108225108225108,0.3068181818181818,0.05333333333333334,0.7634854771784232,0.5322307692307692,0.5139634300126104
ml,knn,demos,interpersonal,241,0.3900414937759336,0.333562622372739,0.5086206896551724,0.327683615819209,0.1643835616438356,0.7261410788381742,0.5944602272727273,0.5665211901624945
ml,knn,employment,group,241,0.37344398340248963,0.32120353806400315,0.5083333333333333,0.2692307692307692,0.18604651162790697,0.7800829875518672,0.5713846153846154,0.5451736023539302
ml,knn,employment,interpersonal,241,0.42323651452282157,0.3632423194135574,0.5416666666666666,0.3508771929824561,0.19718309859154928,0.6929460580912863,0.6187855113636364,0.5815294589920948
ml,knn,geo,group,241,0.3775933609958506,0.3095997481875142,0.5104602510460251,0.3170731707317073,0.10126582278481013,0.7800829875518672,0.5092307692307693,0.5031441782261454
ml,knn,geo,interpersonal,241,0.45228215767634855,0.38070783297333205,0.5774058577405857,0.39080459770114945,0.17391304347826086,0.6556016597510373,0.6310369318181819,0.5896687664690381
ml,knn,transit,group,241,0.4190871369294606,0.3470214818160023,0.5726495726495726,0.3314285714285714,0.136986301369863,0.6763485477178424,0.671076923076923,0.6153526691887348
ml,knn,transit,interpersonal,241,0.48132780082987553,0.39633529374565235,0.6294820717131474,0.36904761904761907,0.19047619047619047,0.5975103734439834,0.6860795454545455,0.6319581686429513
llm,DeepSeek v1,demos,group,241,0.3112033195020747,0.23031246396863828,0.32653061224489793,0.3644067796610169,0.0,0.7551867219917012,0.534076923076923,0.5227208911307272
llm,DeepSeek v1,demos,interpersonal,241,0.3236514522821577,0.30394545364438313,0.41148325358851673,0.2711864406779661,0.22916666666666666,0.8174273858921162,0.5791015625,0.5521480943950373
llm,DeepSeek v1,employment,group,241,0.3153526970954357,0.2344264569504991,0.33507853403141363,0.3682008368200837,0.0,0.7427385892116183,0.5117692307692308,0.5069117276166457
