agent_family,model,tier,side,predicted_band,band_score_range,n,pred_score_mean,pred_score_sd,pred_score_median,pred_score_min,pred_score_max,gt_score_mean,gt_score_median,mae_mean,band_precision
ml,random_forest,demos,group,low,6–13,96,11.588368363118363,1.3738723274827733,11.9050625,7.653583333333334,13.482999999999997,14.177083333333334,12.0,4.915383496422559,0.5729166666666666
ml,random_forest,demos,group,moderate,14–19,115,16.128998484848484,1.666618605082105,15.698936507936507,13.504216269841267,19.452119047619046,15.226086956521739,13.0,5.750229845034193,0.25217391304347825
ml,random_forest,demos,group,high,20–30,30,21.26779662698413,1.516339955951823,20.652160714285714,19.50625,25.075,13.733333333333333,13.0,8.151927182539684,0.13333333333333333
ml,random_forest,demos,interpersonal,low,6–13,92,11.493485290826325,1.5115999186756155,11.919473214285714,7.2254999999999985,13.41825,13.858695652173912,13.0,4.76216032533288,0.5434782608695652
ml,random_forest,demos,interpersonal,moderate,14–19,122,15.849423822534476,1.7223076248292413,15.60957142857143,13.521726190476189,19.473416666666665,14.62295081967213,13.0,5.024251366120217,0.27049180327868855
ml,random_forest,demos,interpersonal,high,20–30,27,21.147740667254556,1.0944582765300463,20.980500000000003,19.562809523809523,24.79,14.444444444444445,13.0,7.637988021751912,0.2222222222222222
ml,random_forest,employment,group,low,6–13,103,11.533522024765956,1.244357956025891,11.779166666666665,7.72,13.4875,14.310679611650485,12.0,4.725726164477377,0.5533980582524272
ml,random_forest,employment,group,moderate,14–19,116,16.165145012315268,1.6643890294552166,15.751369047619047,13.552380952380952,19.46,15.077586206896552,13.0,5.726758415435141,0.23275862068965517
ml,random_forest,employment,group,high,20–30,22,21.63393317099567,1.7036293054193865,21.18975,19.589833333333335,25.235,13.681818181818182,12.5,8.93336498917749,0.18181818181818182
ml,random_forest,employment,interpersonal,low,6–13,108,11.600931619948982,1.4537349580037546,11.826702380952382,7.078496031746032,13.487184523809521,13.907407407407407,13.0,4.413185254174838,0.5277777777777778
ml,random_forest,employment,interpersonal,moderate,14–19,112,15.861516528486394,1.5400852250344166,15.773678571428572,13.52497619047619,19.433666666666667,14.616071428571429,13.0,5.271717952806122,0.24107142857142858
ml,random_forest,employment,interpersonal,high,20–30,21,21.394685090702946,1.3280052281409667,21.28083333333333,19.5,25.33,14.761904761904763,14.0,7.782403344671202,0.2857142857142857
ml,random_forest,geo,group,low,6–13,94,11.950797872340424,0.9449001701157825,12.024999999999999,8.88,13.495,14.47872340425532,12.0,4.541968085106383,0.6063829787234043
ml,random_forest,geo,group,moderate,14–19,133,15.735375939849627,1.5316166239400053,15.37,13.515,19.41,14.481203007518797,13.0,5.199436090225563,0.2932330827067669
ml,random_forest,geo,group,high,20–30,14,21.142857142857142,1.5138405679945701,20.759999999999998,19.505,24.25,16.928571428571427,16.0,6.966428571428572,0.35714285714285715
ml,random_forest,geo,interpersonal,low,6–13,103,11.909563106796119,1.0955915870565924,12.11,8.21,13.445,13.058252427184467,12.0,3.91373786407767,0.6407766990291263
ml,random_forest,geo,interpersonal,moderate,14–19,125,15.561440000000001,1.426695456781159,15.31,13.56,19.29,15.184,15.0,4.4737599999999995,0.36
ml,random_forest,geo,interpersonal,high,20–30,13,21.074230769230773,1.203833374225606,20.935,19.51,23.95,15.846153846153847,13.0,8.54423076923077,0.46153846153846156
ml,random_forest,transit,group,low,6–13,96,11.946927083333335,1.0975060197708073,12.1175,8.555,13.475,12.104166666666666,12.0,3.4918229166666666,0.75
ml,random_forest,transit,group,moderate,14–19,133,15.921691729323308,1.59888387847551,15.63,13.505,19.47,16.30075187969925,15.0,5.306353383458647,0.3082706766917293
ml,random_forest,transit,group,high,20–30,12,21.12375,1.3537296089569242,20.682499999999997,19.815,24.645,16.166666666666668,15.5,7.166250000000001,0.25
ml,random_forest,transit,interpersonal,low,6–13,102,11.8653431372549,1.0658227190913758,12.067499999999999,9.375,13.465,11.911764705882353,12.0,3.472696078431373,0.7254901960784313
ml,random_forest,transit,interpersonal,moderate,14–19,127,15.566811023622048,1.424205078638681,15.375,13.5,19.47,15.795275590551181,15.0,4.736338582677166,0.3700787401574803
ml,random_forest,transit,interpersonal,high,20–30,12,20.75625,1.382999645998991,20.1375,19.52,23.545,19.0,21.0,6.2079166666666685,0.5833333333333334
llm,DeepSeek v2,demos,group,low,6–13,113,11.557522123893806,1.0038690911495385,12.0,6.0,13.0,15.008849557522124,14.0,5.20353982300885,0.49557522123893805
llm,DeepSeek v2,demos,group,moderate,14–19,128,15.1015625,0.8824667464520972,15.0,14.0,18.0,14.28125,12.5,4.9140625,0.2421875
llm,DeepSeek v2,demos,interpersonal,low,6–13,42,10.476190476190476,1.6653055666710201,10.0,6.0,13.0,13.071428571428571,13.0,3.9285714285714284,0.5714285714285714
llm,DeepSeek v2,demos,interpersonal,moderate,14–19,186,15.989247311827956,1.2486088917844975,15.0,14.0,18.0,14.349462365591398,13.0,5.263440860215054,0.26344086021505375
llm,DeepSeek v2,demos,interpersonal,high,20–30,13,21.23076923076923,1.8040060614705502,20.0,20.0,25.0,17.76923076923077,18.0,6.846153846153846,0.38461538461538464
llm,DeepSeek v2,employment,group,low,6–13,110,11.336363636363636,1.1853443897509488,12.0,6.0,13.0,14.881818181818181,13.0,5.290909090909091,0.5181818181818182
llm,DeepSeek v2,employment,group,moderate,14–19,130,15.038461538461538,0.6493055006205436,15.0,14.0,18.0,14.423076923076923,12.5,5.030769230769231,0.26153846153846155
llm,DeepSeek v2,employment,interpersonal,low,6–13,37,10.594594594594595,1.4418355317134206,10.0,6.0,13.0,15.864864864864865,15.0,6.405405405405405,0.4594594594594595
llm,DeepSeek v2,employment,interpersonal,moderate,14–19,191,16.445026178010473,1.3713080369847632,16.0,14.0,18.0,14.094240837696335,13.0,5.481675392670157,0.2879581151832461
llm,DeepSeek v2,employment,interpersonal,high,20–30,12,20.916666666666668,1.3819269959814167,20.0,20.0,24.0,13.333333333333334,13.0,8.583333333333334,0.08333333333333333
llm,DeepSeek v2,geo,group,low,6–13,56,11.339285714285714,1.2287738620599125,12.0,6.0,13.0,13.035714285714286,12.0,3.8392857142857144,0.6607142857142857
llm,DeepSeek v2,geo,group,moderate,14–19,182,15.115384615384615,0.8003327710263389,15.0,14.0,18.0,15.126373626373626,13.0,5.186813186813187,0.26373626373626374
