tier,model,model_label,model_family,target,n_samples,n_features,cv,mae,rmse,r2,exact_acc,band_acc,mean_band_distance,mean_norm_score_distance,mean_norm_band_distance,f1_macro,f1_weighted,f1_low,f1_moderate,f1_high,agent_family
demos,random_forest,Random Forest,tree_ensemble,gt_group_ca,241,4.0,KFold,5.716643416231072,7.0428230420309985,-0.3685656484543589,0.04979253112033195,0.3651452282157676,0.7800829875518672,0.23819347567629467,0.3900414937759336,0.30542370608742286,0.3667079212052223,0.48672566371681414,0.32954545454545453,0.1,ml
demos,random_forest,Random Forest,tree_ensemble,gt_interpersonal_ca,241,4.0,KFold,5.217025282923623,6.637944247553992,-0.3071713426390219,0.0912863070539419,0.36929460580912865,0.7427385892116183,0.21737605345515099,0.37136929460580914,0.323036425757464,0.3712090034742772,0.45454545454545453,0.34554973821989526,0.16901408450704225,ml
demos,knn,k-NN,instance,gt_group_ca,241,4.0,KFold,5.82857913950174,7.2189230088260095,-0.4378609924470769,0.04564315352697095,0.3651452282157676,0.7634854771784232,0.2428574641459058,0.3817427385892116,0.2903246753246754,0.364271793213702,0.5108225108225108,0.3068181818181818,0.05333333333333334,ml
demos,knn,k-NN,instance,gt_interpersonal_ca,241,4.0,KFold,5.2670850672634115,6.781955259437954,-0.36450508400107595,0.04564315352697095,0.3900414937759336,0.7261410788381742,0.21946187780264212,0.3630705394190871,0.333562622372739,0.3939688567623081,0.5086206896551724,0.327683615819209,0.1643835616438356,ml
employment,random_forest,Random Forest,tree_ensemble,gt_group_ca,241,5.0,KFold,5.591650626114318,6.957963574460189,-0.3357844504397256,0.03734439834024896,0.3651452282157676,0.7593360995850622,0.2329854427547633,0.3796680497925311,0.30182208104663916,0.3641945031604699,0.4892703862660944,0.3050847457627119,0.1111111111111111,ml
employment,random_forest,Random Forest,tree_ensemble,gt_interpersonal_ca,241,5.0,KFold,5.105754723664994,6.487912206017166,-0.24874926646384599,0.07468879668049792,0.37344398340248963,0.7261410788381742,0.21273978015270806,0.3630705394190871,0.3220029245031586,0.37568141392850296,0.4830508474576271,0.2983425414364641,0.18461538461538463,ml
employment,knn,k-NN,instance,gt_group_ca,241,5.0,KFold,5.801615791290901,7.308124873270202,-0.47361488920644246,0.04979253112033195,0.37344398340248963,0.7800829875518672,0.24173399130378753,0.3900414937759336,0.32120353806400315,0.3809491113601892,0.5083333333333333,0.2692307692307692,0.18604651162790697,ml
employment,knn,k-NN,instance,gt_interpersonal_ca,241,5.0,KFold,5.22060746532415,6.782115660171256,-0.364569628869311,0.04979253112033195,0.42323651452282157,0.6929460580912863,0.2175253110551729,0.34647302904564314,0.3632423194135574,0.4241490289923276,0.5416666666666666,0.3508771929824561,0.19718309859154928,ml
geo,random_forest,Random Forest,tree_ensemble,gt_group_ca,241,7.0,KFold,5.045643153526971,6.374702108409017,-0.12122267392477526,0.07883817427385892,0.4190871369294606,0.6804979253112033,0.21023513139695713,0.34024896265560167,0.3557468090328915,0.40870949162485715,0.5089285714285714,0.4020618556701031,0.15625,ml
geo,random_forest,Random Forest,tree_ensemble,gt_interpersonal_ca,241,7.0,KFold,4.4539834024896265,5.855557791871062,-0.017189481495064607,0.1078838174273859,0.4854771784232365,0.5975103734439834,0.18558264177040112,0.2987551867219917,0.4152908043304136,0.474756532431305,0.5714285714285714,0.4639175257731959,0.21052631578947367,ml
geo,knn,k-NN,instance,gt_group_ca,241,7.0,KFold,5.741340235051196,7.118540500336378,-0.3981507579462076,0.04979253112033195,0.3775933609958506,0.7800829875518672,0.23922250979379986,0.3900414937759336,0.3095997481875142,0.3766165443562569,0.5104602510460251,0.3170731707317073,0.10126582278481013,ml
geo,knn,k-NN,instance,gt_interpersonal_ca,241,7.0,KFold,5.004121902527802,6.437286989192876,-0.22933730330121715,0.07883817427385892,0.45228215767634855,0.6556016597510373,0.20850507927199174,0.3278008298755187,0.38070783297333205,0.4503138628432273,0.5774058577405857,0.39080459770114945,0.17391304347826086,ml
transit,random_forest,Random Forest,tree_ensemble,gt_group_ca,241,13.0,KFold,4.67616182572614,5.8238206559950845,0.06418917014006342,0.06224066390041494,0.48132780082987553,0.5726141078838174,0.19484007607192252,0.2863070539419087,0.38554091583748046,0.47076378937401736,0.6371681415929203,0.422680412371134,0.0967741935483871,ml
transit,random_forest,Random Forest,tree_ensemble,gt_interpersonal_ca,241,13.0,KFold,4.274792531120331,5.506020139818141,0.10062479856236717,0.07468879668049792,0.5311203319502075,0.5145228215767634,0.17811635546334714,0.2572614107883817,0.45769003253475304,0.5247180669128556,0.6434782608695652,0.47959183673469385,0.25,ml
transit,knn,k-NN,instance,gt_group_ca,241,13.0,KFold,5.20941647580656,6.435224973909017,-0.1426140252941237,0.05394190871369295,0.4190871369294606,0.6763485477178424,0.21705901982527337,0.3381742738589212,0.3470214818160023,0.4212070637762675,0.5726495726495726,0.3314285714285714,0.136986301369863,ml
transit,knn,k-NN,instance,gt_interpersonal_ca,241,13.0,KFold,4.7503516219436674,6.1571211844032865,-0.1246586302651862,0.08713692946058091,0.48132780082987553,0.5975103734439834,0.1979313175809861,0.2987551867219917,0.39633529374565235,0.47476739947934005,0.6294820717131474,0.36904761904761907,0.19047619047619047,ml
demos,DeepSeek v1,,,gt_group_ca,241,,,5.124481327800829,,,0.058091286307053944,0.3112033195020747,,,,0.23031246396863828,0.2683725856894555,0.32653061224489793,0.3644067796610169,0.0,llm
demos,DeepSeek v1,,,gt_interpersonal_ca,241,,,5.929460580912863,,,0.058091286307053944,0.3236514522821577,,,,0.30394545364438313,0.3380292705371084,0.41148325358851673,0.2711864406779661,0.22916666666666666,llm
employment,DeepSeek v1,,,gt_group_ca,241,,,5.157676348547718,,,0.04979253112033195,0.3153526970954357,,,,0.2344264569504991,0.27394381937804513,0.33507853403141363,0.3682008368200837,0.0,llm
employment,DeepSeek v1,,,gt_interpersonal_ca,241,,,5.659751037344399,,,0.06639004149377593,0.36099585062240663,,,,0.3475903689572189,0.3616856596187937,0.37894736842105264,0.3781094527363184,0.2857142857142857,llm
full,DeepSeek v1,,,gt_group_ca,240,,,5.395833333333333,,,0.0625,0.35,,,,0.26134872736814485,0.3142547887693519,0.40540540540540543,0.3786407766990291,0.0,llm
full,DeepSeek v1,,,gt_interpersonal_ca,240,,,5.416666666666667,,,0.05416666666666667,0.4166666666666667,,,,0.3187975209251805,0.40312184524950484,0.5446808510638298,0.3783783783783784,0.03333333333333333,llm
geo,DeepSeek v1,,,gt_group_ca,240,,,5.3,,,0.075,0.3333333333333333,,,,0.24349507735583686,0.3099969233473981,0.4388185654008439,0.2916666666666667,0.0,llm
geo,DeepSeek v1,,,gt_interpersonal_ca,240,,,5.858333333333333,,,0.07083333333333333,0.32083333333333336,,,,0.26885658261971107,0.3055397955700416,0.3417085427135678,0.3791469194312796,0.08571428571428572,llm
transit,DeepSeek v1,,,gt_group_ca,240,,,5.145833333333333,,,0.0625,0.3625,,,,0.2688528402814117,0.3148642362928077,0.3877551020408163,0.4188034188034188,0.0,llm
transit,DeepSeek v1,,,gt_interpersonal_ca,240,,,5.804166666666666,,,0.04583333333333333,0.35,,,,0.28826952993601057,0.3405864811668813,0.42290748898678415,0.3402061855670103,0.1016949152542373,llm
demos,DeepSeek v2,,,gt_group_ca,241,,,5.049792531120332,,,0.0954356846473029,0.36099585062240663,,,,0.26298255927885555,0.33165260366735705,0.4609053497942387,0.328042328042328,0.0,llm
demos,DeepSeek v2,,,gt_interpersonal_ca,241,,,5.1161825726141075,,,0.04564315352697095,0.3236514522821577,,,,0.28070175438596495,0.2920254015561236,0.2823529411764706,0.3843137254901961,0.17543859649122806,llm
employment,DeepSeek v2,,,gt_group_ca,240,,,5.15,,,0.07083333333333333,0.37916666666666665,,,,0.2776694633690406,0.3468694093335378,0.4769874476987448,0.35602094240837695,0.0,llm
employment,DeepSeek v2,,,gt_interpersonal_ca,240,,,5.779166666666667,,,0.025,0.30416666666666664,,,,0.2220360939873135,0.23788751898507995,0.2073170731707317,0.4230769230769231,0.03571428571428571,llm
full,DeepSeek v2,,,gt_group_ca,241,,,5.066390041493776,,,0.058091286307053944,0.3278008298755187,,,,0.25344414438077656,0.2889870355586398,0.3434343434343434,0.3776824034334764,0.0392156862745098,llm
full,DeepSeek v2,,,gt_interpersonal_ca,241,,,5.1078838174273855,,,0.05394190871369295,0.3817427385892116,,,,0.32028929851510496,0.3524180800683277,0.3763440860215054,0.44166666666666665,0.14285714285714285,llm
geo,DeepSeek v2,,,gt_group_ca,241,,,4.8879668049792535,,,0.07468879668049792,0.35684647302904565,,,,0.2768823466057523,0.3224314854458748,0.3978494623655914,0.3950617283950617,0.03773584905660377,llm
