raw_feature,mean_abs_shap,mean_shap
LocationLatitude,0.274180845679333,0.015385607979348133
Age,0.21009751274412128,0.01372984230119715
LocationLongitude,0.2063951004154479,0.002821212750869325
Q28,0.1881062442574503,0.0017522293515449924
Country of residence,0.1498444066415221,0.0006899437976292211
Q26,0.14800619723680442,-0.0063632121973842765
Employment status,0.12854714433441616,-0.0035550846067107017
Q21,0.08053879446304266,-0.0003557019227413867
Sex,0.03956679258657533,0.004288463499335881
Q27,0.025553987601632504,-0.0003421596045583169
Q20,0.02529498019887419,-0.00328537623725916
Student status,0.02326811005198558,0.0013861869674603364
Q29,0.017586631377268073,0.0013249136018849811
