raw_feature,mean_abs_shap,mean_shap
LocationLongitude,0.5083053487906128,0.012664382650653592
LocationLatitude,0.2884300188206978,0.015488959317655608
Q26,0.23983477625297173,-0.011068421838021026
Q29,0.22142819086245777,-0.024990294191761648
Age,0.21948666658562604,0.016087081853296506
Sex,0.21430793236294793,-0.005635415291378088
Q28,0.18426708680164475,-0.011713879712973684
Student status,0.1395396415505831,-0.0014759642455745786
Employment status,0.07273324095021806,-0.0019025392295646195
Q27,0.07045683437663389,-0.005061113243030076
Q21,0.03405392099361358,-0.004466526189710239
Q20,0.033402886192533086,-0.005083859352663379
Country of residence,0.023157656333697485,0.0026176273518599613
