raw_feature,mean_abs_shap,mean_shap
Q28,1.9303636717760804,-0.06097200356579967
Employment status,0.8303463722022811,-0.005178467735554341
Q26,0.5826111092767238,-0.022845291926228552
LocationLatitude,0.5703069118542957,0.014066464584737608
LocationLongitude,0.5356967798379784,-0.016493347889230257
Age,0.5304905609729768,0.028099871842602427
Q21,0.37821745409919855,-0.011291704241232771
Q20,0.27981524860974205,0.0052395186745225865
Student status,0.2052587613104656,-0.003961130610424087
Sex,0.18178551574527063,0.0025563809740306387
Q29,0.126682597512175,-0.0008423778134302828
Country of residence,0.12222925946657277,-0.012498062272693861
Q27,0.07828075170284204,-0.0031623954375008837
