raw_feature,mean_abs_shap,mean_shap
Q28,1.1376092506951034,-0.012452156697849711
Employment status,1.0249252215433835,-0.005835415291280493
Age,1.0238851080680897,0.027697654517065216
Q26,0.6856766884698821,-0.015858582044930382
LocationLongitude,0.5891703774936846,0.0050423162515234685
LocationLatitude,0.5501531878886474,0.019692303653068805
Student status,0.31883786694152666,-0.008451247803186263
Sex,0.25758868115920186,-0.009849450807071888
Q21,0.17760857993499027,-0.00426334299808216
Q20,0.15733421272135126,-0.004142412333079097
Country of residence,0.1227483891152179,-0.008414292468998368
Q29,0.10567160039235521,-0.004850852549577253
Q27,0.07824336084854819,-0.023047061631558056
