agent_family,model,target,tier,mae,f1_macro,delta_mae_vs_prev,delta_f1_vs_prev
llm,DeepSeek v1,gt_group_ca,demos,5.124481327800829,0.23031246396863828,,
llm,DeepSeek v1,gt_group_ca,employment,5.157676348547718,0.2344264569504991,0.03319502074688874,0.004113992981860826
llm,DeepSeek v1,gt_group_ca,geo,5.3,0.24349507735583686,0.14232365145228165,0.009068620405337763
llm,DeepSeek v1,gt_group_ca,transit,5.145833333333333,0.2688528402814117,-0.15416666666666679,0.025357762925574845
llm,DeepSeek v1,gt_interpersonal_ca,demos,5.929460580912863,0.30394545364438313,,
llm,DeepSeek v1,gt_interpersonal_ca,employment,5.659751037344399,0.3475903689572189,-0.26970954356846466,0.043644915312835764
llm,DeepSeek v1,gt_interpersonal_ca,geo,5.858333333333333,0.26885658261971107,0.19858229598893473,-0.07873378633750783
llm,DeepSeek v1,gt_interpersonal_ca,transit,5.804166666666666,0.28826952993601057,-0.05416666666666714,0.0194129473162995
llm,DeepSeek v2,gt_group_ca,demos,5.049792531120332,0.26298255927885555,,
llm,DeepSeek v2,gt_group_ca,employment,5.15,0.2776694633690406,0.10020746887966858,0.014686904090185027
llm,DeepSeek v2,gt_group_ca,geo,4.8879668049792535,0.2768823466057523,-0.26203319502074685,-0.000787116763288298
llm,DeepSeek v2,gt_group_ca,transit,4.966666666666667,0.2672674624322119,0.07869986168741328,-0.009614884173540394
llm,DeepSeek v2,gt_interpersonal_ca,demos,5.1161825726141075,0.28070175438596495,,
llm,DeepSeek v2,gt_interpersonal_ca,employment,5.779166666666667,0.2220360939873135,0.6629840940525593,-0.058665660398651454
llm,DeepSeek v2,gt_interpersonal_ca,geo,5.203319502074689,0.2846312909588344,-0.5758471645919778,0.06259519697152088
llm,DeepSeek v2,gt_interpersonal_ca,transit,5.0875,0.26271876271876277,-0.11581950207468861,-0.021912528240071616
llm,Llama-3.1 v1,gt_group_ca,demos,6.049792531120332,0.14881100339713316,,
llm,Llama-3.1 v1,gt_group_ca,employment,6.033195020746888,0.13510520487264674,-0.016597510373443924,-0.013705798524486418
llm,Llama-3.1 v1,gt_group_ca,geo,6.016597510373444,0.1346578366445916,-0.016597510373443924,-0.0004473682280551339
llm,Llama-3.1 v1,gt_group_ca,transit,5.676348547717843,0.21745759894783245,-0.34024896265560134,0.08279976230324085
llm,Llama-3.1 v1,gt_interpersonal_ca,demos,4.668049792531121,0.228310502283105,,
llm,Llama-3.1 v1,gt_interpersonal_ca,employment,4.734439834024896,0.228310502283105,0.0663900414937757,0.0
llm,Llama-3.1 v1,gt_interpersonal_ca,geo,4.626556016597511,0.23125564588979222,-0.10788381742738551,0.0029451436066872116
llm,Llama-3.1 v1,gt_interpersonal_ca,transit,8.174273858921161,0.14066756473581798,3.5477178423236504,-0.09058808115397424
llm,Llama-3.1 v2,gt_group_ca,demos,6.1161825726141075,0.1616499442586399,,
llm,Llama-3.1 v2,gt_group_ca,employment,5.668049792531121,0.22578769910475527,-0.44813278008298685,0.06413775484611536
llm,Llama-3.1 v2,gt_group_ca,geo,5.8879668049792535,0.16749143509706887,0.2199170124481329,-0.058296264007686394
llm,Llama-3.1 v2,gt_group_ca,transit,5.858333333333333,0.2322597538622676,-0.029633471645920118,0.06476831876519873
llm,Llama-3.1 v2,gt_interpersonal_ca,demos,8.452282157676349,0.1308156963169391,,
llm,Llama-3.1 v2,gt_interpersonal_ca,employment,8.493775933609959,0.11539601692403051,0.04149377593360981,-0.015419679392908586
llm,Llama-3.1 v2,gt_interpersonal_ca,geo,5.788381742738589,0.3376779891595732,-2.7053941908713695,0.2222819722355427
llm,Llama-3.1 v2,gt_interpersonal_ca,transit,8.233333333333333,0.1882019211679724,2.4449515905947434,-0.1494760679916008
llm,Llama-3.2-3B v1,gt_group_ca,demos,5.5850622406639,0.23360287511230907,,
llm,Llama-3.2-3B v1,gt_group_ca,employment,5.5850622406639,0.26018099547511314,0.0,0.026578120362804075
llm,Llama-3.2-3B v1,gt_group_ca,geo,5.626556016597511,0.2569323862141542,0.0414937759336107,-0.0032486092609589345
llm,Llama-3.2-3B v1,gt_group_ca,transit,5.468879668049793,0.26481481481481484,-0.15767634854771817,0.00788242860066063
llm,Llama-3.2-3B v1,gt_interpersonal_ca,demos,5.066390041493776,0.16442977631096442,,
llm,Llama-3.2-3B v1,gt_interpersonal_ca,employment,5.24896265560166,0.17298510125821198,0.18257261410788406,0.008555324947247561
llm,Llama-3.2-3B v1,gt_interpersonal_ca,geo,5.273858921161826,0.19642969027541535,0.024896265560165887,0.023444589017203366
