group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Employment status,Full-Time,demos,148,148,6.918918918918919,4.547297297297297,5.5675675675675675,0.34459459459459457,0.22972972972972974,0.49324324324324326
Employment status,Full-Time,employment,148,148,6.202702702702703,3.6283783783783785,4.72972972972973,-0.8445945945945946,0.22972972972972974,0.6081081081081081
Employment status,Full-Time,full,148,148,5.581081081081081,7.331081081081081,3.2972972972972974,4.885135135135135,0.2702702702702703,0.2635135135135135
Employment status,Full-Time,geo,148,148,6.148648648648648,3.560810810810811,4.675675675675675,-0.9932432432432432,0.22972972972972974,0.6216216216216216
Employment status,Full-Time,transit,148,148,6.162162162162162,7.79054054054054,4.702702702702703,5.804054054054054,0.22297297297297297,0.21621621621621623
Employment status,Full-Time,v3_public_transit,148,148,6.148648648648648,3.695945945945946,4.675675675675675,-0.5202702702702703,0.22972972972972974,0.6148648648648649
Employment status,Full-Time,v3_rideshare,148,148,5.878378378378378,5.763513513513513,4.216216216216216,2.7905405405405403,0.22972972972972974,0.40540540540540543
Employment status,Full-Time,v3_voice,148,148,5.824324324324325,5.52027027027027,3.9054054054054053,3.4932432432432434,0.21621621621621623,0.4527027027027027
Employment status,Other,demos,62,62,5.919354838709677,6.661290322580645,1.6290322580645162,-3.693548387096774,0.24193548387096775,0.4032258064516129
Employment status,Other,employment,62,62,5.596774193548387,6.564516129032258,1.0483870967741935,-4.564516129032258,0.25806451612903225,0.3709677419354839
Employment status,Other,full,62,62,5.564516129032258,6.806451612903226,-0.7580645161290323,1.8064516129032258,0.25806451612903225,0.4032258064516129
Employment status,Other,geo,62,62,5.596774193548387,6.564516129032258,1.0483870967741935,-4.564516129032258,0.25806451612903225,0.3709677419354839
Employment status,Other,transit,62,62,5.790322580645161,7.467741935483871,1.0483870967741935,1.9516129032258065,0.25806451612903225,0.3064516129032258
Employment status,Other,v3_public_transit,62,62,5.693548387096774,7.016129032258065,0.7580645161290323,-3.306451612903226,0.25806451612903225,0.3387096774193548
Employment status,Other,v3_rideshare,62,62,5.693548387096774,6.145161290322581,0.6290322580645161,-1.8870967741935485,0.27419354838709675,0.43548387096774194
Employment status,Other,v3_voice,62,62,5.145161290322581,6.580645161290323,0.04838709677419355,1.7419354838709677,0.3225806451612903,0.41935483870967744
Employment status,Part-Time,demos,31,31,6.935483870967742,5.516129032258065,2.870967741935484,-2.5483870967741935,0.1935483870967742,0.4838709677419355
Employment status,Part-Time,employment,31,31,6.225806451612903,5.838709677419355,1.8387096774193548,-4.096774193548387,0.3548387096774194,0.41935483870967744
Employment status,Part-Time,full,31,31,6.032258064516129,7.548387096774194,0.8064516129032258,2.129032258064516,0.3870967741935484,0.25806451612903225
Employment status,Part-Time,geo,31,31,6.225806451612903,5.838709677419355,1.8387096774193548,-4.096774193548387,0.3548387096774194,0.41935483870967744
Employment status,Part-Time,transit,31,31,6.225806451612903,8.290322580645162,1.8387096774193548,1.3870967741935485,0.3548387096774194,0.1935483870967742
Employment status,Part-Time,v3_public_transit,31,31,6.225806451612903,6.032258064516129,1.8387096774193548,-3.774193548387097,0.3548387096774194,0.41935483870967744
Employment status,Part-Time,v3_rideshare,31,31,6.096774193548387,6.225806451612903,1.5806451612903225,-1.1935483870967742,0.3548387096774194,0.41935483870967744
Employment status,Part-Time,v3_voice,31,31,5.774193548387097,5.741935483870968,1.5161290322580645,1.1612903225806452,0.3870967741935484,0.41935483870967744
