group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Sex,Female,demos,120,120,5.975,4.8,3.525,-2.15,0.25833333333333336,0.5
Sex,Female,employment,120,120,5.658333333333333,4.533333333333333,3.158333333333333,-2.7,0.275,0.525
Sex,Female,full,120,120,5.625,7.366666666666666,1.675,3.783333333333333,0.2916666666666667,0.25833333333333336
Sex,Female,geo,120,120,5.625,4.483333333333333,3.125,-2.75,0.275,0.5333333333333333
Sex,Female,transit,120,120,5.725,8.083333333333334,3.1416666666666666,5.033333333333333,0.275,0.175
Sex,Female,v3_public_transit,120,120,5.691666666666666,4.966666666666667,2.9916666666666667,-1.6833333333333333,0.275,0.5
Sex,Female,v3_rideshare,120,120,5.491666666666666,5.916666666666667,2.725,0.8,0.2833333333333333,0.39166666666666666
Sex,Female,v3_voice,120,120,5.491666666666666,5.033333333333333,2.375,1.65,0.26666666666666666,0.5
Sex,Male,demos,121,121,7.347107438016529,5.628099173553719,4.884297520661157,0.008264462809917356,0.19834710743801653,0.4380165289256198
Sex,Male,employment,121,121,6.43801652892562,4.801652892561983,3.6611570247933884,-1.743801652892562,0.23140495867768596,0.5206611570247934
Sex,Male,full,121,121,5.644628099173554,7.082644628099174,2.190082644628099,3.6942148760330578,0.2727272727272727,0.33884297520661155
Sex,Male,geo,121,121,6.404958677685951,4.768595041322314,3.628099173553719,-1.8760330578512396,0.23140495867768596,0.5289256198347108
Sex,Male,transit,121,121,6.421487603305785,7.462809917355372,3.644628099173554,3.4628099173553717,0.2231404958677686,0.2975206611570248
Sex,Male,v3_public_transit,121,121,6.3884297520661155,4.735537190082645,3.6115702479338845,-1.628099173553719,0.23140495867768596,0.5371900826446281
Sex,Male,v3_rideshare,121,121,6.223140495867769,5.925619834710743,3.1818181818181817,1.3471074380165289,0.23140495867768596,0.4380165289256198
Sex,Male,v3_voice,121,121,5.793388429752066,6.603305785123967,2.834710743801653,3.8264462809917354,0.2644628099173554,0.38016528925619836
