group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,190,6.984210526315789,4.984210526315789,4.731578947368421,-0.2894736842105263,0.19473684210526315,0.49473684210526314
Student status,No,employment,190,190,6.226315789473684,4.321052631578947,3.7421052631578946,-1.7736842105263158,0.22631578947368422,0.5578947368421052
Student status,No,full,190,190,5.868421052631579,7.368421052631579,2.289473684210526,4.052631578947368,0.24736842105263157,0.2894736842105263
Student status,No,geo,190,190,6.226315789473684,4.321052631578947,3.7421052631578946,-1.7736842105263158,0.22631578947368422,0.5578947368421052
Student status,No,transit,190,190,6.2894736842105265,7.742105263157895,3.763157894736842,4.510526315789473,0.22631578947368422,0.24210526315789474
Student status,No,v3_public_transit,190,190,6.257894736842105,4.542105263157895,3.668421052631579,-1.2473684210526317,0.22631578947368422,0.5421052631578948
Student status,No,v3_rideshare,190,190,5.994736842105263,5.573684210526316,3.3,1.331578947368421,0.23157894736842105,0.4421052631578947
Student status,No,v3_voice,190,190,5.836842105263158,5.831578947368421,2.9526315789473685,3.2,0.22631578947368422,0.4421052631578947
Student status,Yes,demos,34,34,5.352941176470588,6.617647058823529,2.0,-4.5,0.4411764705882353,0.29411764705882354
Student status,Yes,employment,34,34,5.235294117647059,6.4411764705882355,1.8823529411764706,-4.382352941176471,0.4411764705882353,0.3235294117647059
Student status,Yes,full,34,34,4.352941176470588,6.0588235294117645,0.5882352941176471,2.588235294117647,0.5,0.38235294117647056
Student status,Yes,geo,34,34,5.0,6.147058823529412,1.6470588235294117,-5.029411764705882,0.4411764705882353,0.38235294117647056
Student status,Yes,transit,34,34,5.0,6.911764705882353,1.7058823529411764,2.2058823529411766,0.4117647058823529,0.29411764705882354
Student status,Yes,v3_public_transit,34,34,4.9411764705882355,6.4411764705882355,1.588235294117647,-3.264705882352941,0.4411764705882353,0.38235294117647056
Student status,Yes,v3_rideshare,34,34,5.117647058823529,7.088235294117647,1.5294117647058822,0.5588235294117647,0.4411764705882353,0.3235294117647059
Student status,Yes,v3_voice,34,34,4.647058823529412,5.294117647058823,1.2352941176470589,1.1176470588235294,0.5,0.47058823529411764
Student status,nan,demos,17,17,5.705882352941177,5.0,2.764705882352941,-2.8823529411764706,0.17647058823529413,0.5294117647058824
Student status,nan,employment,17,17,5.705882352941177,5.0,2.764705882352941,-2.8823529411764706,0.17647058823529413,0.5294117647058824
Student status,nan,full,17,17,5.588235294117647,7.9411764705882355,0.6470588235294118,2.5294117647058822,0.23529411764705882,0.23529411764705882
Student status,nan,geo,17,17,5.705882352941177,5.0,2.764705882352941,-2.8823529411764706,0.17647058823529413,0.5294117647058824
Student status,nan,transit,17,17,5.823529411764706,9.823529411764707,2.6470588235294117,5.352941176470588,0.17647058823529413,0.058823529411764705
Student status,nan,v3_public_transit,17,17,5.823529411764706,5.117647058823529,2.6470588235294117,-3.0,0.17647058823529413,0.5294117647058824
Student status,nan,v3_rideshare,17,17,5.823529411764706,7.470588235294118,1.9411764705882353,-0.7647058823529411,0.17647058823529413,0.29411764705882354
Student status,nan,v3_voice,17,17,5.470588235294118,6.764705882352941,1.4705882352941178,0.8823529411764706,0.23529411764705882,0.35294117647058826
