group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,1,2.0,7.0,2.0,-7.0,1.0,0.0
Age,17.0,employment,1,1,4.0,5.0,4.0,5.0,1.0,0.0
Age,17.0,full,1,1,2.0,7.0,2.0,-7.0,1.0,0.0
Age,17.0,geo,1,1,4.0,5.0,4.0,5.0,1.0,0.0
Age,17.0,transit,1,1,2.0,7.0,2.0,-7.0,1.0,0.0
Age,17.0,v3_public_transit,1,1,4.0,5.0,-4.0,-5.0,0.0,0.0
Age,17.0,v3_rideshare,1,1,4.0,9.0,-4.0,-9.0,0.0,0.0
Age,17.0,v3_voice,1,1,4.0,1.0,-4.0,-1.0,0.0,1.0
Age,18.0,demos,1,1,0.0,11.0,0.0,-11.0,1.0,0.0
Age,18.0,employment,1,1,0.0,11.0,0.0,-11.0,1.0,0.0
Age,18.0,full,1,1,0.0,11.0,0.0,-11.0,1.0,0.0
Age,18.0,geo,1,1,6.0,13.0,-6.0,-13.0,0.0,0.0
Age,18.0,transit,1,1,6.0,9.0,-6.0,-9.0,0.0,0.0
Age,18.0,v3_public_transit,1,1,6.0,13.0,-6.0,-13.0,0.0,0.0
Age,18.0,v3_rideshare,1,1,6.0,13.0,-6.0,-13.0,0.0,0.0
Age,18.0,v3_voice,1,1,6.0,13.0,-6.0,-13.0,0.0,0.0
Age,19.0,demos,4,4,3.0,11.0,-1.5,-6.0,0.25,0.0
Age,19.0,employment,4,4,5.0,11.5,-2.5,-6.5,0.25,0.0
Age,19.0,full,4,4,4.0,6.5,-2.5,-1.5,0.25,0.25
Age,19.0,geo,4,4,6.0,10.0,-4.5,-10.0,0.25,0.25
Age,19.0,transit,4,4,3.0,9.0,-1.5,-9.0,0.25,0.25
Age,19.0,v3_public_transit,4,4,6.5,5.0,-6.5,-3.0,0.25,0.0
Age,19.0,v3_rideshare,4,4,6.5,8.5,-6.5,-6.5,0.5,0.0
Age,19.0,v3_voice,4,4,5.0,8.0,-3.5,-8.0,0.0,0.25
Age,21.0,demos,4,4,8.5,11.5,-2.5,-3.5,0.25,0.25
Age,21.0,employment,4,4,10.5,12.5,-5.5,-4.5,0.0,0.25
Age,21.0,full,4,4,7.5,7.0,-2.5,-0.5,0.25,0.5
Age,21.0,geo,4,4,12.0,10.5,-7.0,-7.5,0.0,0.5
Age,21.0,transit,4,4,11.0,9.0,-7.0,-1.0,0.0,0.25
Age,21.0,v3_public_transit,4,4,9.5,7.0,-8.5,-4.0,0.25,0.5
Age,21.0,v3_rideshare,4,4,10.0,10.5,-9.0,-7.5,0.25,0.5
Age,21.0,v3_voice,4,4,7.5,6.0,-6.5,-2.5,0.25,0.5
Age,22.0,demos,5,5,9.6,10.4,-1.2,-5.6,0.0,0.4
Age,22.0,employment,5,5,9.6,8.4,-1.2,-7.6,0.0,0.6
Age,22.0,full,5,5,7.6,9.6,-3.2,-8.0,0.2,0.2
Age,22.0,geo,5,5,9.6,12.8,-7.6,-12.8,0.4,0.4
Age,22.0,transit,5,5,10.0,8.8,-5.6,-8.8,0.2,0.4
Age,22.0,v3_public_transit,5,5,10.4,10.0,-6.8,-10.0,0.2,0.4
Age,22.0,v3_rideshare,5,5,8.8,10.0,-6.8,-10.0,0.4,0.4
Age,22.0,v3_voice,5,5,8.0,10.0,-6.0,-10.0,0.4,0.6
Age,23.0,demos,10,10,5.7,9.3,1.9,1.5,0.2,0.1
Age,23.0,employment,10,10,5.1,8.3,2.9,4.1,0.3,0.1
Age,23.0,full,10,10,2.9,6.5,-0.1,3.1,0.5,0.4
Age,23.0,geo,10,10,4.7,5.5,-2.1,-5.1,0.5,0.5
Age,23.0,transit,10,10,3.9,6.3,-0.9,2.9,0.4,0.2
Age,23.0,v3_public_transit,10,10,3.9,4.7,-3.1,-2.9,0.6,0.6
Age,23.0,v3_rideshare,10,10,4.1,5.1,-3.3,-4.3,0.6,0.5
Age,23.0,v3_voice,10,10,3.5,7.3,-0.3,-0.9,0.5,0.3
Age,24.0,demos,4,4,4.25,7.0,-1.25,1.0,0.25,0.25
Age,24.0,employment,4,4,3.75,6.5,-0.75,4.0,0.25,0.25
Age,24.0,full,4,4,6.25,2.5,-6.25,-1.0,0.25,1.0
Age,24.0,geo,4,4,8.75,10.0,-8.75,-10.0,0.25,0.25
Age,24.0,transit,4,4,8.75,5.0,-8.75,-5.0,0.25,0.5
Age,24.0,v3_public_transit,4,4,8.75,7.0,-8.75,-7.0,0.25,0.25
Age,24.0,v3_rideshare,4,4,8.75,9.0,-8.75,-9.0,0.25,0.25
Age,24.0,v3_voice,4,4,8.75,10.0,-8.75,-10.0,0.25,0.25
Age,25.0,demos,8,8,7.125,10.5,4.125,9.0,0.375,0.125
Age,25.0,employment,8,8,8.375,12.0,2.875,5.75,0.25,0.0
Age,25.0,full,8,8,5.125,7.75,-0.875,4.25,0.625,0.375
Age,25.0,geo,8,8,6.625,6.25,-3.875,-5.0,0.5,0.5
Age,25.0,transit,8,8,5.875,8.5,-2.125,0.75,0.625,0.25
Age,25.0,v3_public_transit,8,8,6.375,6.75,-3.625,-1.75,0.5,0.625
Age,25.0,v3_rideshare,8,8,6.625,8.25,-3.875,-3.0,0.5,0.5
Age,25.0,v3_voice,8,8,5.625,2.75,-2.875,-1.25,0.5,0.875
Age,26.0,demos,4,4,4.5,8.75,4.5,8.75,0.5,0.0
Age,26.0,employment,4,4,4.5,8.75,4.5,8.75,0.5,0.0
Age,26.0,full,4,4,2.0,6.25,1.0,0.75,0.5,0.25
Age,26.0,geo,4,4,3.5,4.25,-1.5,-4.25,0.75,0.75
Age,26.0,transit,4,4,2.5,3.75,-2.5,0.25,0.75,0.5
Age,26.0,v3_public_transit,4,4,3.5,5.25,-2.5,-0.75,0.25,0.5
Age,26.0,v3_rideshare,4,4,3.5,4.25,-3.5,-4.25,0.5,0.75
Age,26.0,v3_voice,4,4,4.0,4.25,0.0,-3.75,0.5,0.75
Age,27.0,demos,8,8,5.5,6.625,2.5,5.625,0.375,0.125
Age,27.0,employment,8,8,5.5,6.625,2.25,4.125,0.375,0.125
Age,27.0,full,8,8,6.75,7.625,-2.25,-0.375,0.25,0.125
Age,27.0,geo,8,8,6.25,7.125,-0.75,-4.875,0.375,0.125
Age,27.0,transit,8,8,6.5,7.125,-2.5,-4.875,0.25,0.125
Age,27.0,v3_public_transit,8,8,7.0,6.625,-2.5,-5.125,0.125,0.25
Age,27.0,v3_rideshare,8,8,5.5,7.625,-3.5,-6.625,0.375,0.375
Age,27.0,v3_voice,8,8,6.25,7.625,-1.25,-5.375,0.375,0.125
Age,28.0,demos,9,9,6.888888888888889,9.222222222222221,4.0,7.444444444444445,0.1111111111111111,0.1111111111111111
Age,28.0,employment,9,9,6.666666666666667,7.888888888888889,3.7777777777777777,6.111111111111111,0.1111111111111111,0.2222222222222222
Age,28.0,full,9,9,5.777777777777778,9.0,0.2222222222222222,1.6666666666666667,0.3333333333333333,0.1111111111111111
Age,28.0,geo,9,9,6.0,6.111111111111111,-1.5555555555555556,-5.444444444444445,0.4444444444444444,0.5555555555555556
Age,28.0,transit,9,9,5.777777777777778,9.666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.0
Age,28.0,v3_public_transit,9,9,5.555555555555555,7.222222222222222,-1.5555555555555556,-0.1111111111111111,0.3333333333333333,0.3333333333333333
Age,28.0,v3_rideshare,9,9,5.333333333333333,6.777777777777778,-2.6666666666666665,-3.0,0.5555555555555556,0.4444444444444444
Age,28.0,v3_voice,9,9,5.555555555555555,7.0,-2.0,-3.4444444444444446,0.4444444444444444,0.5555555555555556
Age,29.0,demos,6,6,5.333333333333333,7.833333333333333,2.6666666666666665,5.5,0.3333333333333333,0.3333333333333333
Age,29.0,employment,6,6,5.333333333333333,7.833333333333333,2.6666666666666665,5.5,0.3333333333333333,0.3333333333333333
Age,29.0,full,6,6,5.666666666666667,6.166666666666667,-3.0,-1.5,0.5,0.3333333333333333
Age,29.0,geo,6,6,4.666666666666667,7.166666666666667,-1.3333333333333333,-6.5,0.5,0.3333333333333333
Age,29.0,transit,6,6,6.666666666666667,6.5,-3.3333333333333335,-4.5,0.5,0.5
Age,29.0,v3_public_transit,6,6,6.0,7.5,-4.666666666666667,-4.833333333333333,0.6666666666666666,0.5
Age,29.0,v3_rideshare,6,6,6.666666666666667,9.166666666666666,-5.333333333333333,-8.5,0.5,0.3333333333333333
Age,29.0,v3_voice,6,6,7.0,8.5,-4.0,-7.833333333333333,0.3333333333333333,0.3333333333333333
Age,30.0,demos,5,5,4.8,5.2,0.8,4.4,0.2,0.4
Age,30.0,employment,5,5,4.8,5.2,0.8,4.4,0.2,0.4
Age,30.0,full,5,5,6.0,4.0,-5.2,-1.6,0.2,0.4
Age,30.0,geo,5,5,7.6,8.0,-4.0,-8.0,0.4,0.4
Age,30.0,transit,5,5,6.8,5.2,-6.8,-5.2,0.4,0.6
Age,30.0,v3_public_transit,5,5,7.2,8.8,-7.2,-8.8,0.4,0.4
Age,30.0,v3_rideshare,5,5,7.2,9.6,-7.2,-9.6,0.4,0.4
Age,30.0,v3_voice,5,5,6.8,8.0,-5.6,-8.0,0.6,0.4
Age,31.0,demos,3,3,4.0,6.0,-0.6666666666666666,4.0,0.3333333333333333,0.6666666666666666
Age,31.0,employment,3,3,4.0,6.0,-0.6666666666666666,4.0,0.3333333333333333,0.6666666666666666
Age,31.0,full,3,3,8.0,12.666666666666666,-7.333333333333333,-6.666666666666667,0.0,0.0
Age,31.0,geo,3,3,6.0,8.666666666666666,-6.0,-8.666666666666666,0.6666666666666666,0.3333333333333333
Age,31.0,transit,3,3,8.666666666666666,10.666666666666666,-8.666666666666666,-8.666666666666666,0.3333333333333333,0.3333333333333333
Age,31.0,v3_public_transit,3,3,8.0,12.666666666666666,-7.333333333333333,-6.666666666666667,0.0,0.0
Age,31.0,v3_rideshare,3,3,8.666666666666666,10.0,-8.666666666666666,-10.0,0.3333333333333333,0.3333333333333333
Age,31.0,v3_voice,3,3,6.0,8.666666666666666,-4.0,-8.0,0.3333333333333333,0.3333333333333333
Age,32.0,demos,10,10,3.7,6.9,2.7,6.9,0.5,0.1
Age,32.0,employment,10,10,3.7,6.9,2.7,6.9,0.5,0.1
Age,32.0,full,10,10,4.5,7.1,-1.7,1.3,0.6,0.1
Age,32.0,geo,10,10,6.1,5.9,-0.7,-3.9,0.4,0.2
Age,32.0,transit,10,10,4.5,5.3,-2.9,-1.5,0.6,0.2
Age,32.0,v3_public_transit,10,10,5.5,6.1,-4.3,-5.1,0.4,0.3
Age,32.0,v3_rideshare,10,10,5.5,6.9,-4.7,-5.7,0.5,0.2
Age,32.0,v3_voice,10,10,5.9,6.5,-2.3,-5.7,0.4,0.2
Age,33.0,demos,10,10,6.0,8.7,5.6,8.1,0.3,0.1
Age,33.0,employment,10,10,6.0,8.7,5.6,8.1,0.3,0.1
Age,33.0,full,10,10,4.4,4.9,2.0,-1.1,0.3,0.6
Age,33.0,geo,10,10,3.6,5.5,-1.0,-5.3,0.7,0.7
Age,33.0,transit,10,10,5.2,4.5,0.0,-3.5,0.3,0.7
Age,33.0,v3_public_transit,10,10,4.0,4.9,-1.8,-4.1,0.6,0.7
Age,33.0,v3_rideshare,10,10,3.4,5.5,-2.4,-5.1,0.7,0.7
Age,33.0,v3_voice,10,10,4.4,5.1,-0.2,-4.9,0.6,0.7
Age,34.0,demos,12,12,5.916666666666667,8.25,4.916666666666667,7.916666666666667,0.25,0.08333333333333333
Age,34.0,employment,12,12,5.25,7.083333333333333,4.25,6.75,0.3333333333333333,0.16666666666666666
Age,34.0,full,12,12,3.9166666666666665,5.583333333333333,1.4166666666666667,1.5833333333333333,0.25,0.25
Age,34.0,geo,12,12,5.25,4.916666666666667,0.25,-3.5833333333333335,0.4166666666666667,0.5833333333333334
Age,34.0,transit,12,12,3.9166666666666665,4.916666666666667,0.4166666666666667,-3.9166666666666665,0.4166666666666667,0.5833333333333334
Age,34.0,v3_public_transit,12,12,4.083333333333333,5.75,-2.25,-4.083333333333333,0.5,0.5
Age,34.0,v3_rideshare,12,12,3.9166666666666665,5.75,-1.75,-3.9166666666666665,0.6666666666666666,0.5
Age,34.0,v3_voice,12,12,3.75,4.666666666666667,1.25,-1.3333333333333333,0.5,0.4166666666666667
Age,35.0,demos,6,6,8.166666666666666,8.833333333333334,6.166666666666667,8.833333333333334,0.16666666666666666,0.16666666666666666
Age,35.0,employment,6,6,8.166666666666666,8.833333333333334,6.166666666666667,8.833333333333334,0.16666666666666666,0.16666666666666666
Age,35.0,full,6,6,5.5,4.166666666666667,-0.8333333333333334,-2.1666666666666665,0.5,0.5
Age,35.0,geo,6,6,4.5,5.833333333333333,-1.8333333333333333,-5.166666666666667,0.6666666666666666,0.5
Age,35.0,transit,6,6,5.5,4.833333333333333,-0.8333333333333334,-2.8333333333333335,0.5,0.5
Age,35.0,v3_public_transit,6,6,5.833333333333333,7.5,-0.5,-1.1666666666666667,0.3333333333333333,0.16666666666666666
Age,35.0,v3_rideshare,6,6,4.5,5.833333333333333,-1.8333333333333333,-5.166666666666667,0.6666666666666666,0.5
Age,35.0,v3_voice,6,6,4.5,5.833333333333333,-1.8333333333333333,-5.166666666666667,0.6666666666666666,0.5
Age,36.0,demos,6,6,5.833333333333333,8.5,5.833333333333333,7.833333333333333,0.3333333333333333,0.16666666666666666
Age,36.0,employment,6,6,5.833333333333333,8.5,5.833333333333333,7.833333333333333,0.3333333333333333,0.16666666666666666
Age,36.0,full,6,6,4.5,6.5,-0.16666666666666666,-0.16666666666666666,0.3333333333333333,0.16666666666666666
Age,36.0,geo,6,6,3.1666666666666665,6.166666666666667,-0.8333333333333334,-5.5,0.8333333333333334,0.5
Age,36.0,transit,6,6,4.5,7.166666666666667,1.8333333333333333,0.5,0.3333333333333333,0.16666666666666666
Age,36.0,v3_public_transit,6,6,3.8333333333333335,5.833333333333333,-1.5,-1.8333333333333333,0.5,0.3333333333333333
Age,36.0,v3_rideshare,6,6,3.1666666666666665,6.166666666666667,-2.1666666666666665,-5.5,0.6666666666666666,0.5
Age,36.0,v3_voice,6,6,3.5,5.833333333333333,0.16666666666666666,-5.166666666666667,0.6666666666666666,0.5
Age,37.0,demos,9,9,5.444444444444445,7.111111111111111,2.3333333333333335,5.555555555555555,0.3333333333333333,0.4444444444444444
Age,37.0,employment,9,9,5.444444444444445,8.222222222222221,2.5555555555555554,6.888888888888889,0.3333333333333333,0.3333333333333333
Age,37.0,full,9,9,4.111111111111111,7.111111111111111,-2.111111111111111,1.7777777777777777,0.5555555555555556,0.3333333333333333
Age,37.0,geo,9,9,4.555555555555555,8.0,-3.6666666666666665,-5.111111111111111,0.6666666666666666,0.4444444444444444
Age,37.0,transit,9,9,4.333333333333333,7.555555555555555,-2.7777777777777777,0.8888888888888888,0.6666666666666666,0.3333333333333333
Age,37.0,v3_public_transit,9,9,4.555555555555555,6.0,-3.0,-1.7777777777777777,0.6666666666666666,0.6666666666666666
Age,37.0,v3_rideshare,9,9,4.777777777777778,7.555555555555555,-4.111111111111111,-2.6666666666666665,0.6666666666666666,0.5555555555555556
Age,37.0,v3_voice,9,9,5.444444444444445,6.888888888888889,-3.888888888888889,-4.222222222222222,0.4444444444444444,0.4444444444444444
Age,38.0,demos,4,4,6.25,10.75,6.25,10.75,0.25,0.0
Age,38.0,employment,4,4,6.25,10.75,6.25,10.75,0.25,0.0
Age,38.0,full,4,4,0.75,3.25,-0.75,0.25,1.0,0.75
Age,38.0,geo,4,4,1.75,3.25,-1.75,-3.25,0.75,1.0
Age,38.0,transit,4,4,0.75,1.25,-0.25,-0.75,1.0,1.0
Age,38.0,v3_public_transit,4,4,1.75,2.25,-1.75,-2.25,0.75,1.0
Age,38.0,v3_rideshare,4,4,1.75,3.25,-1.75,-3.25,0.75,1.0
Age,38.0,v3_voice,4,4,1.75,3.25,-1.75,-3.25,0.75,1.0
Age,39.0,demos,12,12,6.583333333333333,9.25,3.25,7.916666666666667,0.08333333333333333,0.25
Age,39.0,employment,12,12,6.583333333333333,9.25,3.25,7.916666666666667,0.08333333333333333,0.25
Age,39.0,full,12,12,5.25,7.583333333333333,-2.9166666666666665,-1.0833333333333333,0.4166666666666667,0.4166666666666667
Age,39.0,geo,12,12,5.916666666666667,6.75,-1.5833333333333333,-3.75,0.5,0.6666666666666666
Age,39.0,transit,12,12,5.583333333333333,6.916666666666667,-2.9166666666666665,-3.0833333333333335,0.4166666666666667,0.5833333333333334
Age,39.0,v3_public_transit,12,12,5.083333333333333,5.416666666666667,-4.75,-4.75,0.6666666666666666,0.75
Age,39.0,v3_rideshare,12,12,5.083333333333333,5.916666666666667,-4.75,-5.416666666666667,0.6666666666666666,0.75
Age,39.0,v3_voice,12,12,4.583333333333333,5.916666666666667,-2.9166666666666665,-2.5833333333333335,0.5833333333333334,0.6666666666666666
Age,40.0,demos,5,5,5.2,10.0,4.4,10.0,0.2,0.0
Age,40.0,employment,5,5,5.2,10.0,4.4,10.0,0.2,0.0
Age,40.0,full,5,5,3.2,3.6,-1.6,2.4,0.6,0.6
Age,40.0,geo,5,5,3.6,4.4,-3.6,-4.0,0.6,0.8
Age,40.0,transit,5,5,3.6,2.0,-3.6,1.6,0.6,0.8
Age,40.0,v3_public_transit,5,5,3.6,2.0,-3.6,-1.6,0.6,0.8
Age,40.0,v3_rideshare,5,5,3.6,2.8,-3.6,-2.4,0.6,0.8
Age,40.0,v3_voice,5,5,3.6,4.4,-3.6,-4.0,0.6,0.8
Age,41.0,demos,9,9,7.888888888888889,10.444444444444445,3.0,8.666666666666666,0.1111111111111111,0.0
Age,41.0,employment,9,9,7.0,10.222222222222221,3.888888888888889,10.222222222222221,0.1111111111111111,0.0
Age,41.0,full,9,9,7.666666666666667,6.888888888888889,-0.3333333333333333,4.222222222222222,0.1111111111111111,0.4444444444444444
Age,41.0,geo,9,9,7.444444444444445,6.222222222222222,-3.2222222222222223,-2.2222222222222223,0.4444444444444444,0.5555555555555556
Age,41.0,transit,9,9,8.777777777777779,5.111111111111111,-1.8888888888888888,0.8888888888888888,0.2222222222222222,0.4444444444444444
Age,41.0,v3_public_transit,9,9,7.444444444444445,5.777777777777778,-3.2222222222222223,-0.8888888888888888,0.4444444444444444,0.5555555555555556
Age,41.0,v3_rideshare,9,9,7.444444444444445,6.666666666666667,-3.2222222222222223,-1.7777777777777777,0.4444444444444444,0.5555555555555556
Age,41.0,v3_voice,9,9,7.444444444444445,6.0,-3.2222222222222223,-1.7777777777777777,0.4444444444444444,0.5555555555555556
Age,42.0,demos,8,8,7.375,7.125,-0.125,5.875,0.125,0.5
Age,42.0,employment,8,8,7.375,7.125,-0.125,5.875,0.125,0.5
Age,42.0,full,8,8,7.125,8.125,-5.125,-1.625,0.5,0.25
Age,42.0,geo,8,8,9.125,7.625,-7.125,-6.375,0.5,0.5
Age,42.0,transit,8,8,9.125,8.375,-5.625,0.625,0.375,0.25
Age,42.0,v3_public_transit,8,8,9.125,8.125,-7.125,-4.875,0.5,0.5
Age,42.0,v3_rideshare,8,8,9.125,8.125,-7.125,-4.875,0.5,0.5
Age,42.0,v3_voice,8,8,8.375,6.875,-6.375,-4.625,0.5,0.5
Age,43.0,demos,5,5,7.4,7.8,1.0,4.6,0.2,0.4
Age,43.0,employment,5,5,7.8,8.6,2.6,7.4,0.0,0.2
Age,43.0,full,5,5,9.0,7.4,-1.4,2.6,0.2,0.4
Age,43.0,geo,5,5,9.0,8.2,-3.8,-3.8,0.4,0.4
Age,43.0,transit,5,5,10.2,7.8,-2.6,-2.6,0.2,0.4
Age,43.0,v3_public_transit,5,5,9.0,9.0,-3.8,-3.0,0.4,0.4
Age,43.0,v3_rideshare,5,5,9.0,9.0,-3.8,-3.0,0.4,0.4
Age,43.0,v3_voice,5,5,7.8,7.8,-2.6,-3.4,0.4,0.4
Age,44.0,demos,6,6,6.833333333333333,9.166666666666666,6.833333333333333,8.833333333333334,0.3333333333333333,0.16666666666666666
Age,44.0,employment,6,6,8.166666666666666,11.166666666666666,8.166666666666666,11.166666666666666,0.16666666666666666,0.0
Age,44.0,full,6,6,3.8333333333333335,6.5,3.5,4.5,0.5,0.5
