group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Employment status,Full-Time,demos,148,148,4.72972972972973,5.418918918918919,0.6351351351351351,2.445945945945946,0.2972972972972973,0.36486486486486486
Employment status,Full-Time,employment,148,148,4.466216216216216,5.141891891891892,0.8175675675675675,2.8445945945945947,0.34459459459459457,0.38513513513513514
Employment status,Full-Time,full,148,147,4.884353741496598,4.571428571428571,-0.19047619047619047,0.6394557823129252,0.35374149659863946,0.46258503401360546
Employment status,Full-Time,geo,148,147,4.63265306122449,5.469387755102041,-0.006802721088435374,2.0952380952380953,0.36054421768707484,0.3333333333333333
Employment status,Full-Time,transit,148,148,4.45945945945946,5.101351351351352,0.6486486486486487,1.614864864864865,0.3918918918918919,0.3918918918918919
Employment status,Other,demos,62,62,5.580645161290323,6.5,-2.870967741935484,-1.0483870967741935,0.3548387096774194,0.3064516129032258
Employment status,Other,employment,62,62,6.225806451612903,6.709677419354839,-2.6774193548387095,0.0,0.22580645161290322,0.3064516129032258
Employment status,Other,full,62,62,6.161290322580645,7.370967741935484,-3.6774193548387095,-1.8870967741935485,0.3709677419354839,0.3387096774193548
Employment status,Other,geo,62,62,6.387096774193548,6.82258064516129,-3.225806451612903,-1.0161290322580645,0.24193548387096775,0.3225806451612903
Employment status,Other,transit,62,61,6.229508196721311,7.147540983606557,-3.2459016393442623,-2.8524590163934427,0.32786885245901637,0.2786885245901639
Employment status,Part-Time,demos,31,31,6.096774193548387,7.225806451612903,-1.5806451612903225,0.12903225806451613,0.2903225806451613,0.16129032258064516
Employment status,Part-Time,employment,31,31,6.32258064516129,6.032258064516129,-1.8709677419354838,-1.5161290322580645,0.3548387096774194,0.3548387096774194
Employment status,Part-Time,full,31,31,6.290322580645161,5.516129032258065,-2.4193548387096775,-3.2580645161290325,0.2903225806451613,0.3548387096774194
Employment status,Part-Time,geo,31,31,6.290322580645161,5.774193548387097,-3.2580645161290325,-0.22580645161290322,0.3870967741935484,0.25806451612903225
Employment status,Part-Time,transit,31,31,6.290322580645161,6.516129032258065,-2.225806451612903,-2.3225806451612905,0.2903225806451613,0.2903225806451613
