group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Sex,Female,demos,120,120,5.041666666666667,5.608333333333333,-0.525,0.8916666666666667,0.31666666666666665,0.3416666666666667
Sex,Female,employment,120,120,4.958333333333333,5.708333333333333,-0.6416666666666667,1.0916666666666666,0.325,0.3416666666666667
Sex,Female,full,120,120,5.625,5.483333333333333,-1.7083333333333333,-1.1333333333333333,0.30833333333333335,0.425
Sex,Female,geo,120,119,5.117647058823529,5.932773109243698,-1.6554621848739495,0.8067226890756303,0.3949579831932773,0.2689075630252101
Sex,Female,transit,120,119,5.084033613445378,5.705882352941177,-0.8823529411764706,-0.3445378151260504,0.3865546218487395,0.35294117647058826
Sex,Male,demos,121,121,5.206611570247934,6.24793388429752,-0.5785123966942148,1.603305785123967,0.30578512396694213,0.30578512396694213
Sex,Male,employment,121,121,5.355371900826446,5.6115702479338845,-0.21487603305785125,2.0082644628099175,0.30578512396694213,0.38016528925619836
Sex,Male,full,121,120,5.166666666666667,5.35,-1.05,0.1,0.39166666666666666,0.4083333333333333
Sex,Male,geo,121,121,5.479338842975206,5.785123966942149,-0.8677685950413223,1.1735537190082646,0.2727272727272727,0.371900826446281
Sex,Male,transit,121,121,5.206611570247934,5.900826446280992,-0.5454545454545454,0.2809917355371901,0.33884297520661155,0.34710743801652894
