group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,190,6.247368421052632,4.352631578947369,3.805263157894737,-1.6789473684210525,0.23157894736842105,0.5473684210526316
Student status,No,employment,190,190,6.226315789473684,4.321052631578947,3.7421052631578946,-1.7736842105263158,0.22631578947368422,0.5578947368421052
Student status,No,full,190,190,5.868421052631579,7.036842105263158,-1.2157894736842105,2.6789473684210527,0.3894736842105263,0.2894736842105263
Student status,No,geo,190,190,6.226315789473684,4.321052631578947,3.7421052631578946,-1.7736842105263158,0.22631578947368422,0.5578947368421052
Student status,No,transit,190,190,5.815789473684211,8.442105263157895,0.8789473684210526,6.947368421052632,0.2736842105263158,0.1368421052631579
Student status,Yes,demos,34,34,5.117647058823529,6.264705882352941,1.7647058823529411,-4.852941176470588,0.4411764705882353,0.35294117647058826
Student status,Yes,employment,34,34,5.117647058823529,6.617647058823529,1.7647058823529411,-4.264705882352941,0.4411764705882353,0.3235294117647059
Student status,Yes,full,34,34,5.588235294117647,6.0,-1.7647058823529411,2.176470588235294,0.29411764705882354,0.29411764705882354
Student status,Yes,geo,34,34,5.0,6.147058823529412,1.6470588235294117,-5.029411764705882,0.4411764705882353,0.38235294117647056
Student status,Yes,transit,34,34,4.882352941176471,6.4411764705882355,-0.23529411764705882,4.264705882352941,0.47058823529411764,0.29411764705882354
Student status,nan,demos,17,17,5.705882352941177,5.0,2.764705882352941,-2.8823529411764706,0.17647058823529413,0.5294117647058824
Student status,nan,employment,17,17,5.705882352941177,5.588235294117647,2.764705882352941,-2.2941176470588234,0.17647058823529413,0.47058823529411764
Student status,nan,full,17,17,6.0588235294117645,7.470588235294118,-1.8235294117647058,1.4705882352941178,0.4117647058823529,0.29411764705882354
Student status,nan,geo,17,17,5.705882352941177,5.0,2.764705882352941,-2.8823529411764706,0.17647058823529413,0.5294117647058824
Student status,nan,transit,17,17,5.705882352941177,8.647058823529411,0.5294117647058824,6.294117647058823,0.23529411764705882,0.058823529411764705
