group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,0,,,,,,
Age,17.0,employment,1,0,,,,,,
Age,17.0,full,1,0,,,,,,
Age,17.0,geo,1,0,,,,,,
Age,17.0,transit,1,0,,,,,,
Age,18.0,demos,1,0,,,,,,
Age,18.0,employment,1,0,,,,,,
Age,18.0,full,1,0,,,,,,
Age,18.0,geo,1,0,,,,,,
Age,18.0,transit,1,0,,,,,,
Age,19.0,demos,4,0,,,,,,
Age,19.0,employment,4,0,,,,,,
Age,19.0,full,4,0,,,,,,
Age,19.0,geo,4,0,,,,,,
Age,19.0,transit,4,0,,,,,,
Age,21.0,demos,4,0,,,,,,
Age,21.0,employment,4,0,,,,,,
Age,21.0,full,4,0,,,,,,
Age,21.0,geo,4,0,,,,,,
Age,21.0,transit,4,0,,,,,,
Age,22.0,demos,5,0,,,,,,
Age,22.0,employment,5,0,,,,,,
Age,22.0,full,5,0,,,,,,
Age,22.0,geo,5,0,,,,,,
Age,22.0,transit,5,0,,,,,,
Age,23.0,demos,10,0,,,,,,
Age,23.0,employment,10,0,,,,,,
Age,23.0,full,10,1,9.0,9.0,9.0,9.0,0.0,0.0
Age,23.0,geo,10,0,,,,,,
Age,23.0,transit,10,1,4.0,4.0,4.0,4.0,0.0,0.0
Age,24.0,demos,4,0,,,,,,
Age,24.0,employment,4,0,,,,,,
Age,24.0,full,4,1,3.0,7.0,-3.0,-7.0,1.0,1.0
Age,24.0,geo,4,0,,,,,,
Age,24.0,transit,4,0,,,,,,
Age,25.0,demos,8,0,,,,,,
Age,25.0,employment,8,0,,,,,,
Age,25.0,full,8,1,2.0,5.0,2.0,5.0,0.0,0.0
Age,25.0,geo,8,0,,,,,,
Age,25.0,transit,8,0,,,,,,
Age,26.0,demos,4,0,,,,,,
Age,26.0,employment,4,0,,,,,,
Age,26.0,full,4,1,8.0,11.0,8.0,11.0,0.0,0.0
Age,26.0,geo,4,1,8.0,11.0,8.0,11.0,0.0,0.0
Age,26.0,transit,4,0,,,,,,
Age,27.0,demos,8,0,,,,,,
Age,27.0,employment,8,0,,,,,,
Age,27.0,full,8,1,3.0,4.0,3.0,4.0,0.0,0.0
Age,27.0,geo,8,1,10.0,8.0,10.0,8.0,0.0,0.0
Age,27.0,transit,8,2,6.5,5.0,-3.5,-1.0,0.5,0.5
Age,28.0,demos,9,0,,,,,,
Age,28.0,employment,9,0,,,,,,
Age,28.0,full,9,2,5.0,4.0,5.0,4.0,0.0,0.0
Age,28.0,geo,9,1,8.0,7.0,8.0,7.0,0.0,0.0
Age,28.0,transit,9,1,10.0,10.0,-10.0,-10.0,1.0,1.0
Age,29.0,demos,6,0,,,,,,
Age,29.0,employment,6,0,,,,,,
Age,29.0,full,6,1,12.0,11.0,12.0,11.0,0.0,0.0
Age,29.0,geo,6,0,,,,,,
Age,29.0,transit,6,0,,,,,,
Age,30.0,demos,5,0,,,,,,
Age,30.0,employment,5,0,,,,,,
Age,30.0,full,5,0,,,,,,
Age,30.0,geo,5,0,,,,,,
Age,30.0,transit,5,0,,,,,,
Age,31.0,demos,3,0,,,,,,
Age,31.0,employment,3,0,,,,,,
Age,31.0,full,3,0,,,,,,
Age,31.0,geo,3,1,4.0,5.0,-4.0,-5.0,1.0,1.0
Age,31.0,transit,3,1,4.0,5.0,-4.0,-5.0,1.0,1.0
Age,32.0,demos,10,0,,,,,,
Age,32.0,employment,10,0,,,,,,
Age,32.0,full,10,1,7.0,14.0,7.0,14.0,0.0,0.0
Age,32.0,geo,10,1,1.0,2.0,-1.0,-2.0,1.0,1.0
Age,32.0,transit,10,4,5.5,7.75,5.0,6.75,0.25,0.25
Age,33.0,demos,10,0,,,,,,
Age,33.0,employment,10,0,,,,,,
Age,33.0,full,10,0,,,,,,
Age,33.0,geo,10,1,4.0,5.0,4.0,-5.0,0.0,1.0
Age,33.0,transit,10,0,,,,,,
Age,34.0,demos,12,0,,,,,,
Age,34.0,employment,12,0,,,,,,
Age,34.0,full,12,1,4.0,2.0,4.0,2.0,0.0,0.0
Age,34.0,geo,12,1,6.0,4.0,6.0,4.0,0.0,0.0
Age,34.0,transit,12,2,5.0,3.0,5.0,3.0,0.0,0.0
Age,35.0,demos,6,0,,,,,,
Age,35.0,employment,6,0,,,,,,
Age,35.0,full,6,0,,,,,,
Age,35.0,geo,6,2,8.0,5.0,8.0,5.0,0.0,0.0
Age,35.0,transit,6,0,,,,,,
Age,36.0,demos,6,0,,,,,,
Age,36.0,employment,6,0,,,,,,
Age,36.0,full,6,0,,,,,,
Age,36.0,geo,6,2,5.0,6.0,5.0,2.0,0.0,0.5
Age,36.0,transit,6,0,,,,,,
Age,37.0,demos,9,0,,,,,,
Age,37.0,employment,9,0,,,,,,
Age,37.0,full,9,0,,,,,,
Age,37.0,geo,9,3,6.666666666666667,8.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666
Age,37.0,transit,9,1,2.0,3.0,-2.0,-3.0,1.0,1.0
Age,38.0,demos,4,0,,,,,,
Age,38.0,employment,4,0,,,,,,
Age,38.0,full,4,1,9.0,10.0,9.0,10.0,0.0,0.0
Age,38.0,geo,4,0,,,,,,
Age,38.0,transit,4,1,9.0,10.0,9.0,10.0,0.0,0.0
Age,39.0,demos,12,0,,,,,,
Age,39.0,employment,12,0,,,,,,
Age,39.0,full,12,4,8.0,9.5,3.5,5.0,0.25,0.25
Age,39.0,geo,12,2,10.5,10.0,1.5,1.0,0.5,0.5
Age,39.0,transit,12,6,6.0,7.333333333333333,5.333333333333333,7.0,0.16666666666666666,0.16666666666666666
Age,40.0,demos,5,0,,,,,,
Age,40.0,employment,5,0,,,,,,
Age,40.0,full,5,1,6.0,8.0,6.0,8.0,0.0,0.0
Age,40.0,geo,5,0,,,,,,
Age,40.0,transit,5,0,,,,,,
Age,41.0,demos,9,0,,,,,,
Age,41.0,employment,9,0,,,,,,
Age,41.0,full,9,2,3.0,2.5,0.0,2.5,0.5,0.0
Age,41.0,geo,9,2,5.5,5.5,5.5,5.5,0.0,0.0
Age,41.0,transit,9,2,6.0,3.5,-3.0,3.5,0.0,0.0
Age,42.0,demos,8,0,,,,,,
Age,42.0,employment,8,0,,,,,,
Age,42.0,full,8,0,,,,,,
Age,42.0,geo,8,1,2.0,5.0,-2.0,-5.0,1.0,1.0
Age,42.0,transit,8,0,,,,,,
Age,43.0,demos,5,0,,,,,,
Age,43.0,employment,5,0,,,,,,
Age,43.0,full,5,2,7.5,8.5,5.5,8.5,0.5,0.0
Age,43.0,geo,5,1,13.0,13.0,13.0,13.0,0.0,0.0
Age,43.0,transit,5,3,4.0,4.666666666666667,2.6666666666666665,4.666666666666667,0.3333333333333333,0.0
Age,44.0,demos,6,0,,,,,,
Age,44.0,employment,6,0,,,,,,
Age,44.0,full,6,0,,,,,,
Age,44.0,geo,6,0,,,,,,
Age,44.0,transit,6,0,,,,,,
Age,45.0,demos,5,0,,,,,,
Age,45.0,employment,5,0,,,,,,
Age,45.0,full,5,0,,,,,,
Age,45.0,geo,5,1,10.0,6.0,-10.0,-6.0,1.0,1.0
Age,45.0,transit,5,0,,,,,,
Age,46.0,demos,4,0,,,,,,
Age,46.0,employment,4,0,,,,,,
Age,46.0,full,4,0,,,,,,
Age,46.0,geo,4,1,8.0,4.0,8.0,4.0,0.0,0.0
Age,46.0,transit,4,0,,,,,,
Age,47.0,demos,3,0,,,,,,
Age,47.0,employment,3,0,,,,,,
Age,47.0,full,3,0,,,,,,
Age,47.0,geo,3,0,,,,,,
Age,47.0,transit,3,0,,,,,,
Age,48.0,demos,3,0,,,,,,
Age,48.0,employment,3,0,,,,,,
Age,48.0,full,3,0,,,,,,
Age,48.0,geo,3,0,,,,,,
Age,48.0,transit,3,0,,,,,,
Age,49.0,demos,1,0,,,,,,
Age,49.0,employment,1,0,,,,,,
Age,49.0,full,1,0,,,,,,
Age,49.0,geo,1,0,,,,,,
Age,49.0,transit,1,1,4.0,6.0,4.0,6.0,0.0,0.0
Age,50.0,demos,5,0,,,,,,
Age,50.0,employment,5,0,,,,,,
Age,50.0,full,5,0,,,,,,
Age,50.0,geo,5,0,,,,,,
Age,50.0,transit,5,1,3.0,5.0,-3.0,-5.0,1.0,0.0
Age,51.0,demos,2,0,,,,,,
Age,51.0,employment,2,0,,,,,,
Age,51.0,full,2,0,,,,,,
Age,51.0,geo,2,0,,,,,,
Age,51.0,transit,2,0,,,,,,
Age,52.0,demos,1,0,,,,,,
Age,52.0,employment,1,0,,,,,,
Age,52.0,full,1,0,,,,,,
Age,52.0,geo,1,0,,,,,,
Age,52.0,transit,1,0,,,,,,
Age,53.0,demos,6,0,,,,,,
Age,53.0,employment,6,0,,,,,,
Age,53.0,full,6,0,,,,,,
Age,53.0,geo,6,0,,,,,,
Age,53.0,transit,6,2,9.0,11.0,9.0,11.0,0.0,0.0
Age,54.0,demos,2,0,,,,,,
Age,54.0,employment,2,0,,,,,,
Age,54.0,full,2,0,,,,,,
Age,54.0,geo,2,1,5.0,5.0,5.0,5.0,0.0,0.0
Age,54.0,transit,2,2,9.5,9.5,9.5,9.5,0.0,0.0
Age,56.0,demos,6,0,,,,,,
Age,56.0,employment,6,0,,,,,,
Age,56.0,full,6,0,,,,,,
Age,56.0,geo,6,1,4.0,4.0,-4.0,4.0,1.0,0.0
Age,56.0,transit,6,0,,,,,,
Age,58.0,demos,2,0,,,,,,
Age,58.0,employment,2,0,,,,,,
Age,58.0,full,2,0,,,,,,
Age,58.0,geo,2,0,,,,,,
Age,58.0,transit,2,0,,,,,,
Age,59.0,demos,1,0,,,,,,
Age,59.0,employment,1,0,,,,,,
Age,59.0,full,1,0,,,,,,
Age,59.0,geo,1,0,,,,,,
Age,59.0,transit,1,1,10.0,11.0,10.0,11.0,0.0,0.0
Age,60.0,demos,3,0,,,,,,
Age,60.0,employment,3,0,,,,,,
Age,60.0,full,3,0,,,,,,
Age,60.0,geo,3,0,,,,,,
Age,60.0,transit,3,0,,,,,,
Age,61.0,demos,2,0,,,,,,
Age,61.0,employment,2,0,,,,,,
Age,61.0,full,2,0,,,,,,
Age,61.0,geo,2,1,10.0,14.0,10.0,14.0,0.0,0.0
Age,61.0,transit,2,0,,,,,,
Age,62.0,demos,3,0,,,,,,
Age,62.0,employment,3,0,,,,,,
Age,62.0,full,3,0,,,,,,
Age,62.0,geo,3,0,,,,,,
Age,62.0,transit,3,1,10.0,4.0,-10.0,-4.0,1.0,1.0
Age,63.0,demos,2,0,,,,,,
Age,63.0,employment,2,0,,,,,,
Age,63.0,full,2,0,,,,,,
Age,63.0,geo,2,0,,,,,,
Age,63.0,transit,2,0,,,,,,
Age,64.0,demos,3,0,,,,,,
Age,64.0,employment,3,0,,,,,,
