group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,0,,,,,,
Student status,No,employment,190,0,,,,,,
Student status,No,full,190,12,5.416666666666667,7.416666666666667,4.583333333333333,6.25,0.16666666666666666,0.08333333333333333
Student status,No,geo,190,26,6.923076923076923,6.961538461538462,4.230769230769231,4.8076923076923075,0.34615384615384615,0.23076923076923078
Student status,No,transit,190,26,6.038461538461538,6.615384615384615,2.0384615384615383,4.230769230769231,0.38461538461538464,0.2692307692307692
Student status,Yes,demos,34,0,,,,,,
Student status,Yes,employment,34,0,,,,,,
Student status,Yes,full,34,5,7.6,7.4,4.0,3.8,0.2,0.2
Student status,Yes,geo,34,4,7.0,7.75,2.5,-1.25,0.25,0.75
Student status,Yes,transit,34,6,5.333333333333333,5.666666666666667,4.333333333333333,4.0,0.16666666666666666,0.0
Student status,nan,demos,17,0,,,,,,
Student status,nan,employment,17,0,,,,,,
Student status,nan,full,17,3,7.666666666666667,7.666666666666667,5.666666666666667,7.666666666666667,0.3333333333333333,0.0
Student status,nan,geo,17,0,,,,,,
Student status,nan,transit,17,3,7.0,9.0,7.0,9.0,0.0,0.0
