group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Sex,Female,demos,120,120,5.758333333333334,4.683333333333334,3.4583333333333335,-2.25,0.2833333333333333,0.48333333333333334
Sex,Female,employment,120,120,5.691666666666666,4.583333333333333,3.3916666666666666,-2.35,0.2916666666666667,0.5
Sex,Female,full,120,120,5.625,4.4,3.325,-2.4,0.3,0.525
Sex,Female,geo,120,120,5.658333333333333,4.533333333333333,3.3583333333333334,-2.4,0.3,0.5083333333333333
Sex,Female,transit,120,120,5.725,4.6,3.4916666666666667,-2.2,0.3,0.5
Sex,Male,demos,121,121,6.338842975206612,4.735537190082645,3.6942148760330578,-1.7768595041322315,0.24793388429752067,0.5371900826446281
Sex,Male,employment,121,121,6.43801652892562,4.735537190082645,3.6611570247933884,-1.8264462809917354,0.2231404958677686,0.5371900826446281
Sex,Male,full,121,121,6.041322314049586,4.619834710743802,3.3140495867768593,-2.15702479338843,0.2396694214876033,0.5454545454545454
Sex,Male,geo,121,121,6.471074380165289,4.785123966942149,3.6942148760330578,-1.7768595041322315,0.2231404958677686,0.5289256198347108
Sex,Male,transit,121,121,6.43801652892562,4.785123966942149,3.6611570247933884,-1.8264462809917354,0.2231404958677686,0.5371900826446281
