group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,1,2.0,2.0,-2.0,-2.0,0.0,1.0
Age,17.0,employment,1,1,2.0,2.0,-2.0,-2.0,0.0,1.0
Age,17.0,full,1,1,0.0,1.0,0.0,-1.0,1.0,1.0
Age,17.0,geo,1,1,2.0,2.0,-2.0,-2.0,0.0,1.0
Age,17.0,transit,1,1,1.0,1.0,1.0,1.0,1.0,1.0
Age,18.0,demos,1,1,1.0,5.0,-1.0,-5.0,1.0,0.0
Age,18.0,employment,1,1,1.0,3.0,-1.0,-3.0,1.0,0.0
Age,18.0,full,1,1,1.0,5.0,-1.0,-5.0,1.0,0.0
Age,18.0,geo,1,1,1.0,5.0,-1.0,-5.0,1.0,0.0
Age,18.0,transit,1,1,6.0,11.0,-6.0,-11.0,0.0,0.0
Age,19.0,demos,4,4,3.5,6.0,-3.5,-3.0,0.5,0.0
Age,19.0,employment,4,4,3.0,6.0,-2.0,-3.0,0.25,0.0
Age,19.0,full,4,4,3.75,5.0,-2.25,-1.5,0.25,0.25
Age,19.0,geo,4,4,4.25,5.5,-3.25,-3.5,0.25,0.0
Age,19.0,transit,4,4,3.75,4.75,-2.75,-2.75,0.25,0.0
Age,21.0,demos,4,4,9.75,7.25,-6.75,-1.25,0.0,0.0
Age,21.0,employment,4,4,7.75,6.25,-5.25,-1.75,0.5,0.25
Age,21.0,full,4,4,8.0,3.0,-4.0,0.5,0.25,0.5
Age,21.0,geo,4,4,8.0,5.25,-4.0,-1.75,0.25,0.25
Age,21.0,transit,4,4,9.75,9.0,-5.75,-1.5,0.25,0.0
Age,22.0,demos,5,5,8.0,7.6,-5.2,-6.4,0.4,0.2
Age,22.0,employment,5,5,10.0,9.8,-5.6,-5.0,0.2,0.0
Age,22.0,full,5,5,9.0,9.4,-4.2,-5.8,0.2,0.0
Age,22.0,geo,5,5,9.4,8.0,-2.2,-4.8,0.0,0.2
Age,22.0,transit,5,5,9.0,12.4,-4.2,-7.6,0.2,0.0
Age,23.0,demos,10,10,3.9,3.9,0.7,1.7,0.2,0.5
Age,23.0,employment,10,10,3.5,4.4,0.1,2.0,0.4,0.3
Age,23.0,full,10,10,3.9,4.0,0.1,-0.6,0.2,0.6
Age,23.0,geo,10,10,3.9,4.1,-0.3,1.5,0.3,0.5
Age,23.0,transit,10,10,3.5,4.6,0.3,0.6,0.3,0.5
Age,24.0,demos,4,4,5.75,4.75,-5.75,-2.25,0.25,0.5
Age,24.0,employment,4,4,6.0,4.5,-6.0,-4.0,0.5,0.75
Age,24.0,full,4,4,5.25,5.25,-3.75,-2.25,0.25,0.25
Age,24.0,geo,4,4,6.25,4.0,-6.25,-3.5,0.25,0.75
Age,24.0,transit,4,4,5.75,4.75,-4.25,-2.25,0.0,0.5
Age,25.0,demos,8,8,6.5,5.875,-1.25,2.375,0.25,0.5
Age,25.0,employment,8,8,7.125,6.5,-0.125,1.5,0.375,0.5
Age,25.0,full,8,8,6.875,7.75,0.625,2.75,0.25,0.375
Age,25.0,geo,8,8,6.625,6.5,-0.125,0.5,0.375,0.5
Age,25.0,transit,8,8,5.625,7.25,-0.125,1.5,0.75,0.375
Age,26.0,demos,4,4,4.0,2.5,0.5,0.5,0.25,0.75
Age,26.0,employment,4,4,6.0,5.5,-2.0,-1.0,0.0,0.25
Age,26.0,full,4,4,3.0,3.5,1.5,3.0,0.5,0.5
Age,26.0,geo,4,4,3.25,4.0,1.75,2.0,0.5,0.5
Age,26.0,transit,4,4,3.0,4.25,0.0,2.25,0.5,0.25
Age,27.0,demos,8,8,5.375,4.125,-1.125,-2.625,0.375,0.5
Age,27.0,employment,8,8,5.0,4.0,-0.25,1.25,0.375,0.75
Age,27.0,full,8,8,4.0,4.125,-2.25,-3.125,0.75,0.5
Age,27.0,geo,8,8,4.125,2.625,-2.125,-1.625,0.5,0.5
Age,27.0,transit,8,8,4.375,3.375,-1.125,0.375,0.625,0.5
Age,28.0,demos,9,9,5.111111111111111,5.333333333333333,0.4444444444444444,2.6666666666666665,0.2222222222222222,0.2222222222222222
Age,28.0,employment,9,9,4.555555555555555,4.555555555555555,-2.111111111111111,1.2222222222222223,0.6666666666666666,0.4444444444444444
Age,28.0,full,9,9,4.777777777777778,4.333333333333333,-0.5555555555555556,1.2222222222222223,0.3333333333333333,0.4444444444444444
Age,28.0,geo,9,9,4.444444444444445,5.333333333333333,-0.2222222222222222,0.2222222222222222,0.4444444444444444,0.5555555555555556
Age,28.0,transit,9,9,4.444444444444445,5.222222222222222,0.2222222222222222,1.0,0.3333333333333333,0.2222222222222222
Age,29.0,demos,6,6,5.666666666666667,6.833333333333333,-1.0,-0.5,0.16666666666666666,0.3333333333333333
Age,29.0,employment,6,6,6.166666666666667,6.5,-2.1666666666666665,0.16666666666666666,0.16666666666666666,0.3333333333333333
