group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,190,5.073684210526316,5.0,-1.105263157894737,1.3578947368421053,0.3631578947368421,0.32105263157894737
Student status,No,employment,190,189,5.232804232804233,5.703703703703703,-1.1164021164021165,1.9259259259259258,0.35978835978835977,0.30687830687830686
Student status,No,full,190,190,5.068421052631579,5.073684210526316,-0.32105263157894737,1.3894736842105264,0.30526315789473685,0.37894736842105264
Student status,No,geo,190,190,4.947368421052632,5.184210526315789,0.05263157894736842,1.9526315789473685,0.34210526315789475,0.34210526315789475
Student status,No,transit,190,190,4.889473684210526,4.847368421052631,-0.5,1.3526315789473684,0.3631578947368421,0.3894736842105263
Student status,Yes,demos,34,34,5.235294117647059,5.323529411764706,-1.588235294117647,-1.3823529411764706,0.35294117647058826,0.3235294117647059
Student status,Yes,employment,34,34,4.705882352941177,5.794117647058823,-2.1176470588235294,-1.5588235294117647,0.5,0.29411764705882354
Student status,Yes,full,34,34,4.823529411764706,4.352941176470588,-2.176470588235294,-2.588235294117647,0.47058823529411764,0.5
Student status,Yes,geo,34,34,4.676470588235294,4.9411764705882355,-2.4411764705882355,-2.1176470588235294,0.5294117647058824,0.35294117647058826
Student status,Yes,transit,34,34,5.0,5.882352941176471,-2.4705882352941178,-2.3529411764705883,0.47058823529411764,0.2647058823529412
Student status,nan,demos,17,17,4.411764705882353,6.0,-1.2352941176470589,1.7647058823529411,0.35294117647058826,0.35294117647058826
Student status,nan,employment,17,17,5.117647058823529,6.588235294117647,-1.588235294117647,2.0,0.35294117647058826,0.29411764705882354
Student status,nan,full,17,17,5.529411764705882,7.0,-2.7058823529411766,0.17647058823529413,0.29411764705882354,0.17647058823529413
Student status,nan,geo,17,17,4.647058823529412,5.9411764705882355,-0.29411764705882354,2.5294117647058822,0.17647058823529413,0.29411764705882354
Student status,nan,transit,17,16,5.8125,6.25,-1.8125,-1.375,0.0625,0.25
