group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Employment status,Full-Time,demos,148,148,5.864864864864865,9.182432432432432,3.9864864864864864,8.641891891891891,0.23648648648648649,0.10135135135135136
Employment status,Full-Time,employment,148,148,5.162162162162162,9.16891891891892,1.972972972972973,8.722972972972974,0.32432432432432434,0.0945945945945946
Employment status,Full-Time,full,148,148,5.608108108108108,7.141891891891892,-0.7702702702702703,4.75,0.3783783783783784,0.2635135135135135
Employment status,Full-Time,geo,148,148,5.824324324324325,4.952702702702703,3.9594594594594597,1.8986486486486487,0.22972972972972974,0.4864864864864865
Employment status,Full-Time,transit,148,148,5.425675675675675,8.682432432432432,1.1824324324324325,7.695945945945946,0.3310810810810811,0.12837837837837837
Employment status,Other,demos,62,62,6.338709677419355,7.370967741935484,-1.435483870967742,5.435483870967742,0.2903225806451613,0.3548387096774194
Employment status,Other,employment,62,62,6.403225806451613,7.532258064516129,-1.7580645161290323,5.274193548387097,0.3064516129032258,0.3387096774193548
Employment status,Other,full,62,62,7.790322580645161,7.290322580645161,-6.080645161290323,0.9032258064516129,0.3387096774193548,0.3064516129032258
Employment status,Other,geo,62,62,5.903225806451613,7.82258064516129,-2.064516129032258,4.629032258064516,0.3225806451612903,0.3064516129032258
Employment status,Other,transit,62,61,6.098360655737705,7.180327868852459,-2.459016393442623,3.6721311475409837,0.32786885245901637,0.3442622950819672
Employment status,Part-Time,demos,31,31,6.870967741935484,7.129032258064516,0.03225806451612903,4.806451612903226,0.22580645161290322,0.3225806451612903
Employment status,Part-Time,employment,31,31,6.612903225806452,7.193548387096774,-1.0,5.645161290322581,0.22580645161290322,0.3225806451612903
Employment status,Part-Time,full,31,31,7.548387096774194,7.0,-2.838709677419355,2.161290322580645,0.3225806451612903,0.1935483870967742
Employment status,Part-Time,geo,31,31,6.161290322580645,5.709677419354839,0.9354838709677419,0.5483870967741935,0.3225806451612903,0.4838709677419355
Employment status,Part-Time,transit,31,31,7.451612903225806,8.161290322580646,-1.7741935483870968,4.032258064516129,0.1935483870967742,0.22580645161290322
