group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Sex,Female,demos,120,120,5.508333333333334,7.016666666666667,0.19166666666666668,0.23333333333333334,0.375,0.35833333333333334
Sex,Female,employment,120,120,5.041666666666667,6.05,-0.30833333333333335,-4.25,0.35833333333333334,0.475
Sex,Female,full,120,120,5.15,5.566666666666666,-0.5333333333333333,-1.55,0.35,0.4583333333333333
Sex,Female,geo,120,120,5.433333333333334,5.216666666666667,1.2666666666666666,-2.1333333333333333,0.3333333333333333,0.375
Sex,Female,transit,120,120,5.708333333333333,5.733333333333333,-0.9583333333333334,-2.6166666666666667,0.35833333333333334,0.4666666666666667
Sex,Male,demos,121,121,6.2727272727272725,7.7272727272727275,0.10743801652892562,0.8512396694214877,0.2892561983471074,0.32231404958677684
Sex,Male,employment,121,121,5.760330578512397,6.1735537190082646,-0.8181818181818182,-3.628099173553719,0.34710743801652894,0.45454545454545453
Sex,Male,full,121,121,5.925619834710743,5.636363636363637,0.10743801652892562,-0.859504132231405,0.24793388429752067,0.48760330578512395
Sex,Male,geo,121,121,6.396694214876033,5.776859504132231,1.1570247933884297,-2.041322314049587,0.24793388429752067,0.39669421487603307
Sex,Male,transit,121,121,6.0578512396694215,5.809917355371901,-0.6033057851239669,-2.024793388429752,0.3140495867768595,0.4380165289256198
