group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,0,,,,,,
Age,17.0,employment,1,0,,,,,,
Age,17.0,full,1,0,,,,,,
Age,17.0,geo,1,0,,,,,,
Age,17.0,transit,1,0,,,,,,
Age,17.0,v3_public_transit,1,0,,,,,,
Age,17.0,v3_rideshare,1,0,,,,,,
Age,17.0,v3_voice,1,0,,,,,,
Age,18.0,demos,1,0,,,,,,
Age,18.0,employment,1,0,,,,,,
Age,18.0,full,1,0,,,,,,
Age,18.0,geo,1,0,,,,,,
Age,18.0,transit,1,0,,,,,,
Age,18.0,v3_public_transit,1,0,,,,,,
Age,18.0,v3_rideshare,1,0,,,,,,
Age,18.0,v3_voice,1,0,,,,,,
Age,19.0,demos,4,0,,,,,,
Age,19.0,employment,4,0,,,,,,
Age,19.0,full,4,0,,,,,,
Age,19.0,geo,4,0,,,,,,
Age,19.0,transit,4,0,,,,,,
Age,19.0,v3_public_transit,4,0,,,,,,
Age,19.0,v3_rideshare,4,0,,,,,,
Age,19.0,v3_voice,4,0,,,,,,
Age,21.0,demos,4,0,,,,,,
Age,21.0,employment,4,0,,,,,,
Age,21.0,full,4,0,,,,,,
Age,21.0,geo,4,0,,,,,,
Age,21.0,transit,4,0,,,,,,
Age,21.0,v3_public_transit,4,0,,,,,,
Age,21.0,v3_rideshare,4,0,,,,,,
Age,21.0,v3_voice,4,0,,,,,,
Age,22.0,demos,5,0,,,,,,
Age,22.0,employment,5,0,,,,,,
Age,22.0,full,5,0,,,,,,
Age,22.0,geo,5,0,,,,,,
Age,22.0,transit,5,0,,,,,,
Age,22.0,v3_public_transit,5,0,,,,,,
Age,22.0,v3_rideshare,5,0,,,,,,
Age,22.0,v3_voice,5,0,,,,,,
Age,23.0,demos,10,0,,,,,,
Age,23.0,employment,10,0,,,,,,
Age,23.0,full,10,0,,,,,,
Age,23.0,geo,10,0,,,,,,
Age,23.0,transit,10,0,,,,,,
Age,23.0,v3_public_transit,10,0,,,,,,
Age,23.0,v3_rideshare,10,0,,,,,,
Age,23.0,v3_voice,10,0,,,,,,
Age,24.0,demos,4,0,,,,,,
Age,24.0,employment,4,0,,,,,,
Age,24.0,full,4,0,,,,,,
Age,24.0,geo,4,0,,,,,,
Age,24.0,transit,4,0,,,,,,
Age,24.0,v3_public_transit,4,0,,,,,,
Age,24.0,v3_rideshare,4,0,,,,,,
Age,24.0,v3_voice,4,0,,,,,,
Age,25.0,demos,8,0,,,,,,
Age,25.0,employment,8,0,,,,,,
Age,25.0,full,8,0,,,,,,
Age,25.0,geo,8,0,,,,,,
Age,25.0,transit,8,0,,,,,,
Age,25.0,v3_public_transit,8,0,,,,,,
Age,25.0,v3_rideshare,8,0,,,,,,
Age,25.0,v3_voice,8,0,,,,,,
Age,26.0,demos,4,0,,,,,,
Age,26.0,employment,4,0,,,,,,
Age,26.0,full,4,0,,,,,,
Age,26.0,geo,4,0,,,,,,
Age,26.0,transit,4,0,,,,,,
Age,26.0,v3_public_transit,4,0,,,,,,
Age,26.0,v3_rideshare,4,0,,,,,,
Age,26.0,v3_voice,4,0,,,,,,
Age,27.0,demos,8,0,,,,,,
Age,27.0,employment,8,0,,,,,,
Age,27.0,full,8,0,,,,,,
Age,27.0,geo,8,0,,,,,,
Age,27.0,transit,8,0,,,,,,
Age,27.0,v3_public_transit,8,0,,,,,,
Age,27.0,v3_rideshare,8,0,,,,,,
Age,27.0,v3_voice,8,0,,,,,,
Age,28.0,demos,9,0,,,,,,
Age,28.0,employment,9,0,,,,,,
Age,28.0,full,9,0,,,,,,
Age,28.0,geo,9,0,,,,,,
Age,28.0,transit,9,0,,,,,,
Age,28.0,v3_public_transit,9,0,,,,,,
Age,28.0,v3_rideshare,9,0,,,,,,
Age,28.0,v3_voice,9,0,,,,,,
Age,29.0,demos,6,0,,,,,,
Age,29.0,employment,6,0,,,,,,
Age,29.0,full,6,0,,,,,,
Age,29.0,geo,6,0,,,,,,
Age,29.0,transit,6,0,,,,,,
Age,29.0,v3_public_transit,6,0,,,,,,
Age,29.0,v3_rideshare,6,0,,,,,,
Age,29.0,v3_voice,6,0,,,,,,
Age,30.0,demos,5,0,,,,,,
Age,30.0,employment,5,0,,,,,,
Age,30.0,full,5,0,,,,,,
Age,30.0,geo,5,0,,,,,,
Age,30.0,transit,5,0,,,,,,
Age,30.0,v3_public_transit,5,0,,,,,,
Age,30.0,v3_rideshare,5,0,,,,,,
Age,30.0,v3_voice,5,0,,,,,,
Age,31.0,demos,3,0,,,,,,
Age,31.0,employment,3,0,,,,,,
Age,31.0,full,3,0,,,,,,
Age,31.0,geo,3,0,,,,,,
Age,31.0,transit,3,0,,,,,,
Age,31.0,v3_public_transit,3,0,,,,,,
Age,31.0,v3_rideshare,3,0,,,,,,
Age,31.0,v3_voice,3,0,,,,,,
Age,32.0,demos,10,0,,,,,,
Age,32.0,employment,10,0,,,,,,
Age,32.0,full,10,0,,,,,,
Age,32.0,geo,10,0,,,,,,
Age,32.0,transit,10,0,,,,,,
Age,32.0,v3_public_transit,10,0,,,,,,
Age,32.0,v3_rideshare,10,0,,,,,,
Age,32.0,v3_voice,10,0,,,,,,
Age,33.0,demos,10,0,,,,,,
Age,33.0,employment,10,0,,,,,,
Age,33.0,full,10,0,,,,,,
Age,33.0,geo,10,0,,,,,,
Age,33.0,transit,10,0,,,,,,
Age,33.0,v3_public_transit,10,0,,,,,,
Age,33.0,v3_rideshare,10,0,,,,,,
Age,33.0,v3_voice,10,0,,,,,,
Age,34.0,demos,12,0,,,,,,
Age,34.0,employment,12,0,,,,,,
Age,34.0,full,12,0,,,,,,
Age,34.0,geo,12,0,,,,,,
Age,34.0,transit,12,0,,,,,,
Age,34.0,v3_public_transit,12,0,,,,,,
Age,34.0,v3_rideshare,12,0,,,,,,
Age,34.0,v3_voice,12,0,,,,,,
Age,35.0,demos,6,0,,,,,,
Age,35.0,employment,6,0,,,,,,
Age,35.0,full,6,0,,,,,,
Age,35.0,geo,6,0,,,,,,
Age,35.0,transit,6,0,,,,,,
Age,35.0,v3_public_transit,6,0,,,,,,
Age,35.0,v3_rideshare,6,0,,,,,,
Age,35.0,v3_voice,6,0,,,,,,
Age,36.0,demos,6,0,,,,,,
Age,36.0,employment,6,0,,,,,,
Age,36.0,full,6,0,,,,,,
Age,36.0,geo,6,0,,,,,,
Age,36.0,transit,6,0,,,,,,
Age,36.0,v3_public_transit,6,0,,,,,,
Age,36.0,v3_rideshare,6,0,,,,,,
Age,36.0,v3_voice,6,0,,,,,,
Age,37.0,demos,9,0,,,,,,
Age,37.0,employment,9,0,,,,,,
Age,37.0,full,9,0,,,,,,
Age,37.0,geo,9,0,,,,,,
Age,37.0,transit,9,0,,,,,,
Age,37.0,v3_public_transit,9,0,,,,,,
Age,37.0,v3_rideshare,9,0,,,,,,
Age,37.0,v3_voice,9,0,,,,,,
Age,38.0,demos,4,0,,,,,,
Age,38.0,employment,4,0,,,,,,
Age,38.0,full,4,0,,,,,,
Age,38.0,geo,4,0,,,,,,
Age,38.0,transit,4,0,,,,,,
Age,38.0,v3_public_transit,4,0,,,,,,
Age,38.0,v3_rideshare,4,0,,,,,,
Age,38.0,v3_voice,4,0,,,,,,
Age,39.0,demos,12,0,,,,,,
Age,39.0,employment,12,0,,,,,,
Age,39.0,full,12,0,,,,,,
Age,39.0,geo,12,0,,,,,,
Age,39.0,transit,12,0,,,,,,
Age,39.0,v3_public_transit,12,0,,,,,,
Age,39.0,v3_rideshare,12,0,,,,,,
Age,39.0,v3_voice,12,0,,,,,,
Age,40.0,demos,5,0,,,,,,
Age,40.0,employment,5,0,,,,,,
Age,40.0,full,5,0,,,,,,
Age,40.0,geo,5,0,,,,,,
Age,40.0,transit,5,0,,,,,,
Age,40.0,v3_public_transit,5,0,,,,,,
Age,40.0,v3_rideshare,5,0,,,,,,
Age,40.0,v3_voice,5,0,,,,,,
Age,41.0,demos,9,0,,,,,,
Age,41.0,employment,9,0,,,,,,
Age,41.0,full,9,0,,,,,,
Age,41.0,geo,9,0,,,,,,
Age,41.0,transit,9,0,,,,,,
Age,41.0,v3_public_transit,9,0,,,,,,
Age,41.0,v3_rideshare,9,0,,,,,,
Age,41.0,v3_voice,9,0,,,,,,
Age,42.0,demos,8,0,,,,,,
Age,42.0,employment,8,0,,,,,,
Age,42.0,full,8,0,,,,,,
Age,42.0,geo,8,0,,,,,,
Age,42.0,transit,8,0,,,,,,
Age,42.0,v3_public_transit,8,0,,,,,,
Age,42.0,v3_rideshare,8,0,,,,,,
Age,42.0,v3_voice,8,0,,,,,,
Age,43.0,demos,5,0,,,,,,
Age,43.0,employment,5,0,,,,,,
Age,43.0,full,5,0,,,,,,
Age,43.0,geo,5,0,,,,,,
Age,43.0,transit,5,0,,,,,,
Age,43.0,v3_public_transit,5,0,,,,,,
Age,43.0,v3_rideshare,5,0,,,,,,
Age,43.0,v3_voice,5,0,,,,,,
Age,44.0,demos,6,0,,,,,,
Age,44.0,employment,6,0,,,,,,
Age,44.0,full,6,0,,,,,,
Age,44.0,geo,6,0,,,,,,
Age,44.0,transit,6,0,,,,,,
Age,44.0,v3_public_transit,6,0,,,,,,
Age,44.0,v3_rideshare,6,0,,,,,,
Age,44.0,v3_voice,6,0,,,,,,
Age,45.0,demos,5,0,,,,,,
Age,45.0,employment,5,0,,,,,,
Age,45.0,full,5,0,,,,,,
Age,45.0,geo,5,0,,,,,,
Age,45.0,transit,5,0,,,,,,
Age,45.0,v3_public_transit,5,0,,,,,,
Age,45.0,v3_rideshare,5,0,,,,,,
Age,45.0,v3_voice,5,0,,,,,,
Age,46.0,demos,4,0,,,,,,
Age,46.0,employment,4,0,,,,,,
Age,46.0,full,4,0,,,,,,
Age,46.0,geo,4,0,,,,,,
Age,46.0,transit,4,0,,,,,,
Age,46.0,v3_public_transit,4,0,,,,,,
Age,46.0,v3_rideshare,4,0,,,,,,
Age,46.0,v3_voice,4,0,,,,,,
Age,47.0,demos,3,0,,,,,,
Age,47.0,employment,3,0,,,,,,
Age,47.0,full,3,0,,,,,,
Age,47.0,geo,3,0,,,,,,
Age,47.0,transit,3,0,,,,,,
Age,47.0,v3_public_transit,3,0,,,,,,
Age,47.0,v3_rideshare,3,0,,,,,,
Age,47.0,v3_voice,3,0,,,,,,
Age,48.0,demos,3,0,,,,,,
Age,48.0,employment,3,0,,,,,,
Age,48.0,full,3,0,,,,,,
Age,48.0,geo,3,0,,,,,,
Age,48.0,transit,3,0,,,,,,
Age,48.0,v3_public_transit,3,0,,,,,,
Age,48.0,v3_rideshare,3,0,,,,,,
Age,48.0,v3_voice,3,0,,,,,,
Age,49.0,demos,1,0,,,,,,
Age,49.0,employment,1,0,,,,,,
Age,49.0,full,1,0,,,,,,
