group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Employment status,Full-Time,demos,148,0,,,,,,
Employment status,Full-Time,employment,148,0,,,,,,
Employment status,Full-Time,full,148,0,,,,,,
Employment status,Full-Time,geo,148,0,,,,,,
Employment status,Full-Time,transit,148,0,,,,,,
Employment status,Full-Time,v3_public_transit,148,0,,,,,,
Employment status,Full-Time,v3_rideshare,148,0,,,,,,
Employment status,Full-Time,v3_voice,148,0,,,,,,
Employment status,Other,demos,62,0,,,,,,
Employment status,Other,employment,62,0,,,,,,
Employment status,Other,full,62,0,,,,,,
Employment status,Other,geo,62,0,,,,,,
Employment status,Other,transit,62,0,,,,,,
Employment status,Other,v3_public_transit,62,0,,,,,,
Employment status,Other,v3_rideshare,62,0,,,,,,
Employment status,Other,v3_voice,62,0,,,,,,
Employment status,Part-Time,demos,31,0,,,,,,
Employment status,Part-Time,employment,31,0,,,,,,
Employment status,Part-Time,full,31,0,,,,,,
Employment status,Part-Time,geo,31,0,,,,,,
Employment status,Part-Time,transit,31,0,,,,,,
Employment status,Part-Time,v3_public_transit,31,0,,,,,,
Employment status,Part-Time,v3_rideshare,31,0,,,,,,
Employment status,Part-Time,v3_voice,31,0,,,,,,
