group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Sex,Female,demos,120,0,,,,,,
Sex,Female,employment,120,0,,,,,,
Sex,Female,full,120,0,,,,,,
Sex,Female,geo,120,0,,,,,,
Sex,Female,transit,120,0,,,,,,
Sex,Female,v3_public_transit,120,0,,,,,,
Sex,Female,v3_rideshare,120,0,,,,,,
Sex,Female,v3_voice,120,0,,,,,,
Sex,Male,demos,121,0,,,,,,
Sex,Male,employment,121,0,,,,,,
Sex,Male,full,121,0,,,,,,
Sex,Male,geo,121,0,,,,,,
Sex,Male,transit,121,0,,,,,,
Sex,Male,v3_public_transit,121,0,,,,,,
Sex,Male,v3_rideshare,121,0,,,,,,
Sex,Male,v3_voice,121,0,,,,,,
