group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,0,,,,,,
Student status,No,employment,190,0,,,,,,
Student status,No,full,190,0,,,,,,
Student status,No,geo,190,0,,,,,,
Student status,No,transit,190,0,,,,,,
Student status,No,v3_public_transit,190,0,,,,,,
Student status,No,v3_rideshare,190,0,,,,,,
Student status,No,v3_voice,190,0,,,,,,
Student status,Yes,demos,34,0,,,,,,
Student status,Yes,employment,34,0,,,,,,
Student status,Yes,full,34,0,,,,,,
Student status,Yes,geo,34,0,,,,,,
Student status,Yes,transit,34,0,,,,,,
Student status,Yes,v3_public_transit,34,0,,,,,,
Student status,Yes,v3_rideshare,34,0,,,,,,
Student status,Yes,v3_voice,34,0,,,,,,
Student status,nan,demos,17,0,,,,,,
Student status,nan,employment,17,0,,,,,,
Student status,nan,full,17,0,,,,,,
Student status,nan,geo,17,0,,,,,,
Student status,nan,transit,17,0,,,,,,
Student status,nan,v3_public_transit,17,0,,,,,,
Student status,nan,v3_rideshare,17,0,,,,,,
Student status,nan,v3_voice,17,0,,,,,,
