group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,employment,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,full,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,geo,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,transit,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,v3_public_transit,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,v3_rideshare,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,v3_voice,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,18.0,demos,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,employment,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,full,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,geo,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,transit,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,v3_public_transit,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,v3_rideshare,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,v3_voice,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,19.0,demos,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,employment,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,full,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,geo,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,transit,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,v3_public_transit,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,v3_rideshare,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,v3_voice,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,21.0,demos,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,employment,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,full,4,4,6.5,5.0,0.5,-2.0,0.5,0.75
Age,21.0,geo,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,transit,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,v3_public_transit,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,v3_rideshare,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,v3_voice,4,4,6.5,5.0,0.5,-2.0,0.5,0.75
Age,22.0,demos,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,employment,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,full,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,geo,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,transit,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,v3_public_transit,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,v3_rideshare,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,v3_voice,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,23.0,demos,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,employment,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,full,10,10,5.3,4.1,3.5,-1.3,0.3,0.5
Age,23.0,geo,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,transit,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
